Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
ENG7Hr0k,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,07/03/2026,17:00,Round 27,Ath Bilbao,Barcelona,0,1,[],[68],bet365,4.75,2.5,2.1,bet365,4.5,4.33,1.65,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.53,2.5,bet365,2.3,1.62,bet365,4.0,1.25,bet365,1.57,2.25,bet365,2.2,1.2,1.18,bet365,19.0,bet365,10.0,bet365,9.5,bet365,13.0,bet365,19.0,bet365,8.5,bet365,8.5,bet365,12.0,bet365,29.0,bet365,15.0,bet365,13.0,bet365,19.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,41.0,Superbet.br,22.0,1.01,,0.0,0.0,Estrelabet,9.0,1.05,1xBet,8.69,1.08,bet365,4.4,1.2,bet365,2.25,1.63,bet365,1.78,2.03,bet365,1.48,2.6,bet365,1.23,4.0,bet365,1.18,4.65,BetEsporte,35.0,12.0,1.01,Betano.br,21.0,10.5,1.07,Betano.br,10.25,6.3,1.21,bet365,2.2,4.0,2.6,Betano.br,1.5,4.85,4.9,Betano.br,1.19,7.4,9.75,0.86,0.44,1.08,1.07,0.78,0.51,1.07,1.08,0.07,1.08,0.3,0.7,0.74,0.89,0.49,0.47,0.53,0.71,2.0,0.0,0.18,0.2,10.0,7.0,3.0,2.0,6.0,3.0,1.0,2.0,7.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,18.0,13.0,2.0,4.0,9.0,11.0,19.0,16.0,11.0,9.0,2.0,1.0,,,7.0,4.0,2.0,3.0,0.73,0.55,43.0,47.0,19.0,22.0,9.0,11.0,0.0,1.0,0.0,0.0,0.17,0.05,0.04,0.0,0.2,0.34,0.24,0.76,3.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,,,2.0,6.0,4.0,3.0,1.0,1.0,0.69,0.39,1.04,1.07,0.58,0.17,0.36,0.64,7.0,5.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,9.0,3.0,3.0,1.0,1.0,2.0
MmKFFMU1,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,07/03/2026,14:30,Round 27,Atl. Madrid,Real Sociedad,3,2,"[5, 67, 81]","[9, 68]",bet365,2.1,2.38,5.0,bet365,1.62,4.0,5.25,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.73,2.1,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.75,2.0,bet365,1.17,1.22,2.25,bet365,13.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,8.0,bet365,7.5,bet365,17.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,12.0,bet365,12.0,bet365,23.0,bet365,41.0,bet365,5.25,1.16,bet365,4.4,1.2,bet365,2.68,1.45,bet365,2.08,1.73,bet365,1.63,2.25,bet365,1.18,4.8,1xBet,1.05,10.6,Superbet.br,1.03,11.0,,0.0,0.0,,0.0,0.0,Betano.br,11.75,7.7,1.16,Betano.br,5.5,4.85,1.44,bet365,2.63,3.75,2.25,Betano.br,1.2,6.2,11.75,Betano.br,1.05,11.25,26.0,BetEsporte,1.01,12.0,40.0,2.28,0.41,3.66,0.94,2.74,0.22,0.94,3.66,-1.06,0.66,0.52,0.48,0.82,0.8,0.31,0.41,0.78,0.59,0.0,0.0,0.29,0.0,24.0,7.0,9.0,3.0,12.0,2.0,3.0,2.0,20.0,4.0,4.0,3.0,7.0,0.0,0.0,0.0,56.0,10.0,8.0,1.0,10.0,6.0,22.0,18.0,6.0,10.0,1.0,1.0,,,3.0,1.0,1.0,5.0,0.52,0.54,53.0,48.0,28.0,33.0,6.0,12.0,0.0,1.0,0.0,0.0,1.23,0.22,1.64,0.78,1.67,0.06,0.58,0.42,13.0,3.0,4.0,2.0,7.0,1.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,3.0,1.05,0.19,2.02,0.16,1.07,0.16,0.45,0.55,11.0,4.0,5.0,1.0,5.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,,,5.0,6.0,2.0,1.0,0.0,2.0
lGmxj36E,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,07/03/2026,12:15,Round 27,Levante,Girona,1,1,[50],[90],bet365,3.25,2.2,3.1,bet365,2.75,3.25,2.55,bet365,1.36,3.0,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.29,3.75,bet365,1.91,1.91,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.7,2.05,bet365,1.5,1.33,1.4,bet365,10.0,bet365,9.0,bet365,13.0,bet365,26.0,bet365,9.5,bet365,6.0,bet365,10.0,bet365,21.0,bet365,15.0,bet365,11.0,bet365,13.0,bet365,29.0,bet365,29.0,bet365,21.0,bet365,29.0,bet365,41.0,Superbet.br,12.0,1.03,1xBet,12.0,1.03,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.68,1.45,bet365,1.5,2.5,bet365,1.22,4.15,bet365,1.16,5.25,1xBet,1.04,12.3,Estrelabet,1.04,11.0,BetEsporte,26.0,11.0,1.02,Betano.br,13.5,7.6,1.14,Betano.br,5.9,4.4,1.47,bet365,1.5,4.33,5.0,Betano.br,1.16,7.1,13.0,Betano.br,1.04,12.0,26.0,0.75,1.94,0.87,0.69,0.54,1.53,0.69,0.87,-0.31,-0.13,0.33,0.67,0.78,0.92,0.41,0.53,0.65,0.88,0.0,0.0,0.35,0.21,14.0,22.0,4.0,5.0,6.0,10.0,4.0,7.0,9.0,14.0,5.0,8.0,1.0,3.0,0.0,1.0,17.0,31.0,2.0,3.0,9.0,15.0,8.0,14.0,15.0,9.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,3.0,0.78,0.45,37.0,37.0,25.0,22.0,7.0,4.0,0.0,1.0,0.0,0.0,0.42,0.27,0.17,0.04,0.37,0.31,0.41,0.59,10.0,6.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,4.0,1.0,2.0,2.0,2.0,0.33,1.67,0.7,0.65,0.17,1.22,0.25,0.75,4.0,16.0,2.0,3.0,2.0,8.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,7.0,5.0,0.0,0.0,2.0,1.0
UPeplsyR,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,07/03/2026,10:00,Round 27,Osasuna,Mallorca,2,2,"[89, 90]","[35, 61]",bet365,2.5,2.1,4.75,bet365,1.9,3.4,4.2,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.2,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,2.0,1.75,bet365,1.17,1.29,2.05,bet365,8.0,bet365,11.0,bet365,23.0,bet365,51.0,bet365,6.0,bet365,7.0,bet365,17.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,51.0,bet365,13.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,6.6,1.11,bet365,7.0,1.1,bet365,3.55,1.27,bet365,2.75,1.43,bet365,1.7,2.1,bet365,1.23,4.0,1xBet,1.05,10.9,Estrelabet,1.05,10.0,,0.0,0.0,,0.0,0.0,Betano.br,17.5,9.5,1.09,Betano.br,7.9,5.4,1.3,bet365,3.1,3.5,2.05,Betano.br,1.23,5.6,11.75,Betano.br,1.05,10.75,28.0,BetEsporte,1.01,11.0,40.0,2.47,1.08,1.58,1.39,2.15,0.38,1.39,1.58,-0.61,-0.42,0.5,0.5,0.86,0.83,0.64,0.39,0.78,0.7,1.0,0.0,0.26,0.23,22.0,8.0,5.0,4.0,9.0,2.0,8.0,2.0,17.0,5.0,5.0,3.0,6.0,2.0,0.0,0.0,51.0,16.0,8.0,0.0,12.0,11.0,25.0,13.0,11.0,12.0,2.0,5.0,1.0,1.0,4.0,0.0,2.0,4.0,0.39,0.35,41.0,39.0,19.0,44.0,3.0,4.0,0.0,0.0,1.0,0.0,0.36,0.73,0.07,1.05,0.33,0.26,0.36,0.64,5.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,5.0,2.0,0.0,2.0,1.0,2.11,0.35,1.51,0.34,1.82,0.12,0.65,0.35,17.0,3.0,4.0,1.0,8.0,1.0,6.0,1.0,7.0,0.0,1.0,3.0,1.0,1.0,6.0,7.0,2.0,0.0,0.0,3.0
xd22wQM8,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,06/03/2026,17:00,Round 27,Celta Vigo,Real Madrid,1,2,[25],"[11, 90]",bet365,3.4,2.2,3.1,bet365,2.8,3.4,2.45,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.91,1.91,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.7,2.05,bet365,1.53,1.3,1.4,bet365,11.0,bet365,9.0,bet365,13.0,bet365,23.0,bet365,10.0,bet365,6.5,bet365,9.5,bet365,19.0,bet365,15.0,bet365,11.0,bet365,13.0,bet365,26.0,bet365,29.0,bet365,21.0,bet365,29.0,bet365,41.0,Superbet.br,13.0,1.02,1xBet,13.5,1.02,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.75,1.43,bet365,1.55,2.38,bet365,1.24,3.9,bet365,1.18,4.8,1xBet,1.05,10.3,Estrelabet,1.05,9.0,BetEsporte,28.0,11.0,1.02,Betano.br,16.0,8.25,1.12,Betano.br,6.8,4.6,1.4,bet365,1.53,4.33,5.0,Betano.br,1.19,6.6,11.5,Betano.br,1.05,11.5,24.0,1.05,0.86,1.91,1.37,0.59,0.81,1.37,1.91,-0.63,0.91,0.37,0.63,0.87,0.91,0.55,0.51,0.7,0.82,0.0,0.0,0.5,0.06,8.0,14.0,4.0,3.0,4.0,4.0,0.0,7.0,7.0,7.0,1.0,7.0,1.0,0.0,1.0,1.0,14.0,19.0,1.0,6.0,12.0,4.0,14.0,16.0,4.0,12.0,1.0,2.0,,,2.0,0.0,1.0,3.0,0.4,0.77,38.0,31.0,22.0,6.0,10.0,14.0,2.0,1.0,0.0,0.0,0.89,0.38,1.57,0.63,0.43,0.33,0.43,0.57,5.0,7.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,5.0,2.0,0.0,0.0,2.0,0.16,0.48,0.34,0.74,0.16,0.48,0.29,0.71,3.0,7.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,,,1.0,7.0,0.0,0.0,1.0,1.0
Oj96hsAM,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,04/03/2026,15:00,Round 23,Rayo Vallecano,Oviedo,3,0,"[44, 50, 62]",[],bet365,2.3,2.1,5.5,bet365,1.7,3.6,5.25,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.2,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,2.05,1.7,bet365,1.17,1.29,2.1,bet365,8.0,bet365,12.0,bet365,26.0,bet365,51.0,bet365,6.0,bet365,6.5,bet365,17.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,51.0,bet365,13.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,6.4,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,2.25,1.63,bet365,1.68,2.15,bet365,1.17,5.0,1xBet,1.03,11.0,Estrelabet,1.03,12.0,,0.0,0.0,,0.0,0.0,Betano.br,15.5,8.5,1.11,Betano.br,6.9,5.0,1.36,bet365,3.0,3.5,2.1,Betano.br,1.19,6.0,13.5,Betano.br,1.04,11.5,30.0,BetEsporte,1.01,11.0,45.0,2.51,0.99,2.46,1.14,1.0,0.82,1.14,2.46,1.14,-0.54,0.52,0.48,0.82,0.8,0.47,0.43,0.74,0.64,0.0,0.0,0.13,0.2,19.0,8.0,7.0,2.0,6.0,2.0,6.0,4.0,12.0,5.0,7.0,3.0,4.0,2.0,0.0,1.0,36.0,14.0,12.0,2.0,10.0,10.0,15.0,18.0,10.0,10.0,1.0,2.0,,,1.0,1.0,2.0,4.0,0.58,0.39,57.0,40.0,16.0,23.0,7.0,10.0,0.0,1.0,0.0,1.0,1.23,0.11,1.22,0.0,0.45,0.06,0.57,0.43,12.0,3.0,4.0,0.0,4.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,3.0,1.28,0.88,1.24,1.14,0.55,0.76,0.47,0.53,7.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,7.0,2.0,1.0,1.0,,,6.0,4.0,0.0,0.0,2.0,1.0
lx1RyDo4,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,02/03/2026,17:00,Round 26,Real Madrid,Getafe,0,1,[],[39],bet365,1.95,2.25,8.0,bet365,1.38,4.5,9.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.07,9.0,bet365,1.33,3.4,bet365,2.1,1.73,bet365,3.75,1.29,bet365,7.0,1.1,bet365,2.25,1.57,bet365,1.07,1.18,3.0,bet365,9.0,bet365,15.0,bet365,41.0,bet365,101.0,bet365,5.5,bet365,8.0,bet365,23.0,bet365,67.0,bet365,6.0,bet365,9.0,bet365,23.0,bet365,67.0,bet365,9.0,bet365,13.0,bet365,34.0,bet365,81.0,bet365,4.4,1.2,bet365,3.55,1.27,bet365,2.3,1.6,bet365,1.73,2.08,bet365,1.43,2.75,bet365,1.11,6.8,,0.0,0.0,Superbet.br,1.01,20.0,,0.0,0.0,,0.0,0.0,Betano.br,9.25,6.5,1.22,Betano.br,4.35,4.15,1.65,bet365,2.3,3.5,3.0,Betano.br,1.09,8.5,23.0,BetEsporte,1.01,11.0,45.0,,0.0,0.0,0.0,1.91,0.5,2.42,0.45,2.01,0.44,0.45,2.42,-0.55,2.42,0.77,0.23,0.9,0.64,0.47,0.4,0.79,0.5,0.0,0.0,0.24,0.33,18.0,9.0,7.0,3.0,7.0,2.0,4.0,4.0,15.0,6.0,3.0,3.0,5.0,0.0,0.0,0.0,34.0,13.0,10.0,2.0,17.0,11.0,23.0,18.0,11.0,17.0,4.0,6.0,1.0,1.0,0.0,1.0,2.0,7.0,0.46,0.57,64.0,45.0,24.0,45.0,4.0,9.0,2.0,1.0,0.0,0.0,0.69,0.42,1.76,0.22,0.59,0.33,0.79,0.21,6.0,6.0,4.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,3.0,13.0,0.0,0.0,0.0,4.0,1.22,0.08,0.66,0.23,1.42,0.11,0.75,0.25,12.0,3.0,3.0,2.0,5.0,1.0,4.0,0.0,6.0,1.0,4.0,4.0,1.0,1.0,8.0,4.0,0.0,1.0,2.0,3.0
hA7IwZGi,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,01/03/2026,17:00,Round 26,Girona,Celta Vigo,1,2,[35],"[58, 70]",bet365,3.1,2.1,3.5,bet365,2.5,3.2,2.9,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.33,3.4,bet365,2.1,1.73,bet365,3.75,1.29,bet365,7.0,1.1,bet365,1.8,1.95,bet365,1.4,1.36,1.5,bet365,8.5,bet365,9.0,bet365,15.0,bet365,29.0,bet365,8.0,bet365,6.0,bet365,11.0,bet365,23.0,bet365,12.0,bet365,10.0,bet365,13.0,bet365,34.0,bet365,23.0,bet365,21.0,bet365,29.0,bet365,51.0,Estrelabet,10.0,1.05,1xBet,10.5,1.04,bet365,5.25,1.16,bet365,4.15,1.22,bet365,2.42,1.53,bet365,1.4,2.85,bet365,1.16,5.25,bet365,1.12,6.25,1xBet,1.01,14.0,Superbet.br,1.02,14.0,Betano.br,25.0,11.75,1.05,Betano.br,12.0,6.9,1.17,bet365,5.0,4.33,1.5,Betano.br,1.42,4.4,6.8,Betano.br,1.12,8.0,17.0,BetEsporte,1.01,11.0,30.0,1.37,0.6,1.16,1.04,1.41,0.5,1.04,1.16,0.04,0.16,0.57,0.43,0.9,0.87,0.48,0.44,0.87,0.74,2.0,0.0,0.14,0.08,15.0,7.0,7.0,5.0,5.0,1.0,3.0,1.0,11.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,37.0,16.0,10.0,6.0,8.0,9.0,17.0,12.0,9.0,8.0,2.0,2.0,,,2.0,1.0,4.0,6.0,0.47,0.5,39.0,26.0,13.0,27.0,3.0,7.0,1.0,0.0,0.0,0.0,0.37,0.44,0.54,0.51,0.48,0.39,0.54,0.46,4.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,6.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.16,0.62,0.53,0.93,0.11,0.6,0.4,11.0,2.0,5.0,2.0,3.0,0.0,1.0,0.0,6.0,0.0,2.0,1.0,,,8.0,6.0,1.0,1.0,1.0,5.0
bVGTMqLU,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,01/03/2026,14:30,Round 26,Betis,Sevilla,2,2,"[16, 37]","[62, 85]",bet365,2.38,2.2,5.0,bet365,1.75,3.8,4.5,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,9.5,bet365,1.33,3.4,bet365,2.05,1.8,bet365,3.75,1.29,bet365,7.0,1.1,bet365,1.95,1.8,bet365,1.18,1.25,2.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,6.5,bet365,7.0,bet365,15.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,13.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,2.38,1.55,bet365,1.75,2.05,bet365,1.21,4.25,1xBet,1.06,9.51,Estrelabet,1.04,11.0,,0.0,0.0,,0.0,0.0,Betano.br,14.5,8.5,1.12,Betano.br,6.6,5.1,1.37,bet365,3.1,3.6,2.0,Betano.br,1.21,6.0,12.0,Betano.br,1.05,11.0,27.0,BetEsporte,1.01,11.0,40.0,1.59,0.87,1.66,0.55,1.13,0.51,0.55,1.66,-1.45,-0.34,0.45,0.55,0.86,0.88,0.37,0.5,0.62,0.78,1.0,0.0,0.2,0.18,9.0,14.0,2.0,6.0,3.0,3.0,4.0,5.0,7.0,8.0,2.0,6.0,3.0,2.0,1.0,0.0,13.0,20.0,4.0,3.0,15.0,12.0,13.0,21.0,12.0,15.0,3.0,3.0,,,0.0,2.0,3.0,0.0,0.68,0.71,45.0,47.0,24.0,13.0,8.0,9.0,0.0,1.0,0.0,0.0,1.36,0.24,1.66,0.07,0.93,0.21,0.49,0.51,5.0,5.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,9.0,0.0,0.0,2.0,0.0,0.23,0.63,0.0,0.48,0.2,0.3,0.41,0.59,4.0,9.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,,,8.0,6.0,0.0,2.0,1.0,0.0
fZ3ZZjGG,SPAIN,2025-2026,Laliga 2025 2026,SPAIN 1,01/03/2026,12:15,Round 26,Valencia,Osasuna,1,0,[67],[],bet365,3.1,2.05,3.75,bet365,2.4,3.1,3.1,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.3,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,1.95,1.8,bet365,1.36,1.36,1.53,bet365,8.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,7.0,bet365,6.0,bet365,12.0,bet365,29.0,bet365,11.0,bet365,10.0,bet365,15.0,bet365,41.0,bet365,23.0,bet365,21.0,bet365,34.0,bet365,51.0,Estrelabet,10.0,1.05,1xBet,10.0,1.04,bet365,5.0,1.17,bet365,3.9,1.24,bet365,2.35,1.58,bet365,1.35,3.1,bet365,1.13,5.9,bet365,1.1,7.0,1xBet,1.01,15.0,Superbet.br,1.01,16.0,Betano.br,25.0,12.0,1.05,Betano.br,12.5,6.8,1.17,bet365,5.0,4.0,1.53,Betano.br,1.38,4.5,7.5,Betano.br,1.1,8.5,18.5,BetEsporte,1.01,11.0,35.0,1.56,0.32,0.79,0.0,0.73,0.63,0.0,0.79,0.0,-0.21,0.48,0.52,0.79,0.82,0.34,0.38,0.55,0.69,0.0,0.0,0.29,0.34,14.0,8.0,1.0,0.0,8.0,5.0,5.0,3.0,9.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,31.0,22.0,5.0,4.0,13.0,14.0,14.0,14.0,14.0,13.0,3.0,3.0,,,0.0,1.0,0.0,0.0,0.6,0.55,52.0,55.0,21.0,17.0,10.0,9.0,0.0,0.0,0.0,0.0,0.57,0.06,0.0,0.0,0.57,0.15,0.58,0.42,7.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,0.99,0.26,0.79,0.0,0.16,0.48,0.35,0.65,7.0,6.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,3.0,2.0,2.0,,,5.0,8.0,0.0,1.0,0.0,0.0
