Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
2m9tpSYo,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,04/05/2025,07:00,Group 2,Gernika,Real Sociedad C,3,0,"[10, 45, 63]",[],Betfair,1.57,2.6,12.0,Betfair,1.13,6.5,14.0,Superbet.br,1.32,3.1,Betano.br,2.37,1.45,Superbet.br,5.9,1.1,Betfair,1.01,13.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,2.6,1.44,Betano.br,1.04,1.11,4.45,Betfair,12.0,Betfair,26.0,Betfair,91.0,Betfair,201.0,Betfair,5.0,Betfair,10.0,Betfair,41.0,Betfair,201.0,Betfair,4.33,Betfair,8.0,Betfair,26.0,Betfair,201.0,Betfair,5.5,Betfair,9.5,Betfair,34.0,Betfair,201.0,Superbet.br,2.55,1.39,Estrelabet,1.95,1.75,Estrelabet,1.6,2.2,Estrelabet,1.25,3.6,Superbet.br,1.17,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,4.5,4.5,1.41,Betano.br,2.55,3.7,2.22,Estrelabet,1.52,3.75,4.33,BetEsporte,1.02,7.4,29.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z17lr63b,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,04/05/2025,07:00,Group 2,Izarra,Subiza,1,5,[90],"[16, 23, 56, 68, 81]",Betfair,2.7,2.2,3.6,Betfair,2.15,3.6,2.8,Superbet.br,1.33,3.05,Betano.br,2.32,1.47,Superbet.br,5.8,1.1,Betfair,1.01,11.0,Betfair,1.17,4.5,Betfair,1.65,2.1,Betfair,2.6,1.44,Betfair,5.2,1.13,Betfair,1.57,2.25,Betano.br,1.42,1.24,1.65,Betfair,10.0,Betfair,10.0,Betfair,14.0,Betfair,31.0,Betfair,8.0,Betfair,5.5,Betfair,9.0,Betfair,18.0,Betfair,9.0,Betfair,7.5,Betfair,9.0,Betfair,21.0,Betfair,18.0,Betfair,12.0,Betfair,18.0,Betfair,31.0,,0.0,0.0,,0.0,0.0,Superbet.br,3.9,1.17,Estrelabet,3.2,1.3,Estrelabet,2.1,1.66,Superbet.br,1.37,2.62,,0.0,0.0,Betboom.br,2.38,1.55,Betboom.br,1.78,2.02,Betboom.br,1.42,2.75,BetEsporte,16.0,8.2,1.04,Estrelabet,7.5,5.5,1.2,Betano.br,3.95,4.05,1.65,Estrelabet,1.37,4.5,5.0,BetEsporte,1.1,6.6,12.0,BetEsporte,1.02,8.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pWQWfqm4,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,04/05/2025,07:00,Group 2,Teruel,Calahorra,1,0,[72],[],Betfair,3.75,1.91,3.0,Betfair,3.0,3.4,2.05,Betano.br,1.42,2.45,Superbet.br,3.25,1.29,Superbet.br,8.6,1.04,Betfair,1.06,7.5,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.91,1.8,Betano.br,1.6,1.29,1.38,Betfair,6.5,Betfair,6.0,Betfair,8.5,Betfair,19.0,Betfair,7.0,Betfair,5.0,Betfair,8.0,Betfair,15.0,Betfair,11.0,Betfair,9.5,Betfair,12.0,Betfair,26.0,Betfair,31.0,Betfair,23.0,Betfair,36.0,Betfair,61.0,,0.0,0.0,,0.0,0.0,Betboom.br,4.65,1.18,Betboom.br,2.0,1.8,Superbet.br,2.87,1.31,Estrelabet,1.6,2.2,Estrelabet,1.27,3.4,Superbet.br,1.16,4.1,,0.0,0.0,,0.0,0.0,BetEsporte,26.0,8.4,1.01,BetEsporte,16.0,6.8,1.07,Estrelabet,7.0,4.0,1.32,Betano.br,1.6,3.75,4.5,BetEsporte,1.15,5.6,10.0,BetEsporte,1.03,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WS0ctpYA,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,04/05/2025,07:00,Group 2,Ejea,Barbastro,0,0,[],[],Betfair,4.33,1.91,2.8,Betfair,3.5,3.3,1.91,Betano.br,1.42,2.47,Superbet.br,3.1,1.32,Superbet.br,8.1,1.05,Betfair,1.06,7.5,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.95,1.75,Betano.br,1.78,1.28,1.3,Betfair,6.5,Betfair,5.5,Betfair,7.5,Betfair,15.0,Betfair,8.0,Betfair,5.0,Betfair,7.5,Betfair,15.0,Betfair,13.0,Betfair,10.0,Betfair,12.0,Betfair,26.0,Betfair,36.0,Betfair,23.0,Betfair,41.0,Betfair,76.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,3.15,1.26,Betano.br,1.78,1.93,Estrelabet,1.33,3.0,Superbet.br,1.21,3.55,,0.0,0.0,,0.0,0.0,BetEsporte,28.0,8.4,1.01,BetEsporte,18.0,7.2,1.05,Estrelabet,8.0,4.5,1.25,Betano.br,1.78,3.6,3.75,Estrelabet,1.2,5.0,8.5,BetEsporte,1.04,7.8,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McuxZ1Qp,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,04/05/2025,07:00,Group 2,Eibar B,Arenas Getxo,0,0,[],[],Betfair,4.33,1.73,3.25,Betfair,3.5,2.05,3.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betfair,1.13,5.2,Betfair,1.65,2.1,Betfair,3.2,1.3,Betfair,7.0,1.07,,0.0,0.0,Betfair,2.4,1.5,,0.0,0.0,0.0,Betfair,4.5,Betfair,4.5,Betfair,8.0,Betfair,20.0,Betfair,6.0,Betfair,5.0,Betfair,9.0,Betfair,21.0,Betfair,12.0,Betfair,12.0,Betfair,18.0,Betfair,46.0,Betfair,36.0,Betfair,36.0,Betfair,67.0,Betfair,151.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xQ35vO2N,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,04/05/2025,07:00,Group 2,Tudelano,Anguiano,2,0,"[4, 75]",[],Betfair,2.2,2.2,4.5,Betfair,1.65,3.8,4.4,Superbet.br,1.34,3.0,Betano.br,2.45,1.42,Superbet.br,6.0,1.1,Betfair,1.02,10.0,Betfair,1.22,3.8,Betfair,1.75,1.95,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.73,2.0,Betano.br,1.19,1.23,2.1,Betfair,9.5,Betfair,12.0,Betfair,21.0,Betfair,56.0,Betfair,6.0,Betfair,6.0,Betfair,12.0,Betfair,26.0,Betfair,7.0,Betfair,6.5,Betfair,11.0,Betfair,34.0,Betfair,11.0,Betfair,10.0,Betfair,18.0,Betfair,46.0,Betboom.br,3.4,1.28,Betboom.br,2.58,1.44,Superbet.br,2.75,1.34,Estrelabet,2.2,1.6,Estrelabet,1.66,2.1,Superbet.br,1.17,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,11.0,6.8,1.1,Estrelabet,5.33,4.5,1.35,Betano.br,2.82,3.55,2.1,BetEsporte,1.16,5.4,9.8,BetEsporte,1.03,7.8,20.0,BetEsporte,1.01,8.6,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwGWh20J,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,04/05/2025,07:00,Group 2,UD Logrones,Alfaro,1,0,[83],[],Betfair,1.67,2.5,8.5,Betfair,1.2,5.0,10.5,Superbet.br,1.29,3.25,Betano.br,2.27,1.5,Superbet.br,5.4,1.12,Betfair,1.01,13.0,Betfair,1.17,4.5,Betfair,1.6,2.2,Betfair,2.6,1.44,Betfair,5.2,1.13,Betfair,2.1,1.65,Betano.br,1.03,1.12,4.3,Betfair,12.0,Betfair,21.0,Betfair,56.0,Betfair,201.0,Betfair,5.5,Betfair,9.0,Betfair,26.0,Betfair,91.0,Betfair,5.0,Betfair,7.0,Betfair,18.0,Betfair,91.0,Betfair,6.5,Betfair,8.5,Betfair,21.0,Betfair,91.0,Superbet.br,2.67,1.36,Estrelabet,2.1,1.66,Estrelabet,1.66,2.1,Estrelabet,1.3,3.2,Superbet.br,1.21,3.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,4.75,4.75,1.37,Betano.br,2.67,3.7,2.15,Estrelabet,1.61,3.75,3.8,BetEsporte,1.04,7.4,22.0,BetEsporte,1.01,8.2,35.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l4XNd5Ii,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,04/05/2025,07:00,Group 2,Utebo FC,SD Logrones,2,1,"[25, 38]",[65],Betfair,4.0,2.0,2.8,Betfair,3.4,3.3,1.95,Betano.br,1.44,2.4,Superbet.br,3.0,1.34,Superbet.br,7.5,1.06,Betfair,1.05,8.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,3.6,1.25,Betfair,7.5,1.05,Betfair,1.8,1.91,Betano.br,1.88,1.28,1.22,Betfair,7.0,Betfair,6.0,Betfair,8.0,Betfair,15.0,Betfair,8.0,Betfair,5.0,Betfair,7.5,Betfair,13.0,Betfair,13.0,Betfair,10.0,Betfair,11.0,Betfair,23.0,Betfair,36.0,Betfair,23.0,Betfair,34.0,Betfair,61.0,,0.0,0.0,Betboom.br,2.2,1.65,Betboom.br,5.5,1.15,Betboom.br,2.38,1.55,Superbet.br,3.25,1.25,Betano.br,1.87,1.83,Estrelabet,1.4,2.71,Superbet.br,1.21,3.55,,0.0,0.0,,0.0,0.0,BetEsporte,27.0,8.4,1.01,BetEsporte,18.0,7.2,1.05,Estrelabet,9.5,4.75,1.2,Betano.br,1.88,3.4,3.5,Estrelabet,1.22,5.0,7.5,BetEsporte,1.04,7.8,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0MHOfOV6,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,03/05/2025,13:00,Group 2,Alaves B,Zaragoza B,2,2,"[1, 61]","[10, 78]",Betfair,2.25,2.1,5.0,Betfair,1.65,3.75,4.4,Superbet.br,1.36,2.92,Betano.br,2.52,1.4,Superbet.br,6.1,1.09,Betfair,1.02,10.0,Betfair,1.22,3.8,Betfair,1.85,1.85,Betfair,3.0,1.33,Superbet.br,5.35,1.12,Betfair,1.75,1.95,Betano.br,1.18,1.24,2.15,Betfair,9.0,Betfair,12.0,Betfair,21.0,Betfair,61.0,Betfair,6.0,Betfair,6.0,Betfair,12.0,Betfair,26.0,Betfair,6.5,Betfair,6.5,Betfair,11.0,Betfair,36.0,Betfair,11.0,Betfair,10.0,Betfair,19.0,Betfair,51.0,,0.0,0.0,,0.0,0.0,Superbet.br,2.67,1.36,Estrelabet,2.28,1.55,Estrelabet,1.7,2.05,Superbet.br,1.15,4.1,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,11.0,6.8,1.1,Estrelabet,5.5,4.75,1.32,Betano.br,2.77,3.55,2.15,BetEsporte,1.15,5.4,10.0,BetEsporte,1.03,8.0,21.0,BetEsporte,1.01,8.4,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vV5fikPE,SPAIN,2024-2025,Segunda Rfef Group 2 2024 2025,SPAIN 4,27/04/2025,07:00,Group 2,Alfaro,Alaves B,2,4,"[63, 90]","[24, 48, 57, 59]",Betfair,3.2,1.91,3.6,Betfair,2.4,2.9,2.7,Betano.br,1.47,2.32,Superbet.br,3.2,1.3,Superbet.br,8.4,1.05,Betfair,1.06,7.5,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.87,1.8,Betano.br,1.42,1.31,1.53,Betfair,6.5,Betfair,7.0,Betfair,10.0,Betfair,26.0,Betfair,6.0,Betfair,5.0,Betfair,9.0,Betfair,20.0,Betfair,9.5,Betfair,8.5,Betfair,11.0,Betfair,31.0,Betfair,21.0,Betfair,18.0,Betfair,31.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,Superbet.br,4.7,1.11,Estrelabet,4.2,1.18,Estrelabet,2.4,1.5,Estrelabet,1.45,2.54,Estrelabet,1.18,4.2,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,22.0,8.4,1.02,BetEsporte,12.0,6.2,1.11,Betano.br,5.1,3.9,1.53,Estrelabet,1.42,4.0,5.0,BetEsporte,1.09,6.4,13.0,BetEsporte,1.01,8.4,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
