Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
KKqIhKlG,SWEDEN,2023,Superettan 2023,SWEDEN 2,23/11/2023,15:00,Relegation,Nordic United,Orgryte,0,1,[],[78],bet365,3.6,2.3,2.75,bet365,3.2,3.25,2.1,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.62,1.3,1.33,bet365,13.0,bet365,10.0,bet365,12.0,bet365,21.0,bet365,13.0,bet365,6.5,bet365,9.0,bet365,15.0,bet365,19.0,bet365,12.0,bet365,12.0,bet365,21.0,bet365,34.0,bet365,23.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,1.7,2.1,bet365,1.35,3.1,bet365,1.24,3.9,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,15.5,8.25,1.1,Betano.br,7.0,4.8,1.35,bet365,1.62,4.33,4.0,Betano.br,1.23,6.1,9.25,Betano.br,1.07,10.0,18.5,,,,,,,,,,,0.48,0.52,,,,,,,,,,,2.0,10.0,2.0,6.0,0.0,4.0,,,,,,,,,,,,,3.0,8.0,,,,,,,1.0,2.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,0.4,0.6,1.0,5.0,1.0,2.0,0.0,3.0,,,1.0,6.0,,,,,,,2.0,1.0,,,,,,,0.56,0.44,1.0,5.0,1.0,4.0,0.0,1.0,,,2.0,2.0,1.0,2.0,,,,,,,3.0,1.0
zV0iyRA5,SWEDEN,2023,Superettan 2023,SWEDEN 2,26/11/2023,10:00,Relegation,Skovde AIK,Falkenberg,3,0,"[25, 43, 75]",[],bet365,2.75,2.2,3.75,bet365,2.1,3.4,2.9,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.04,12.0,bet365,1.25,3.75,bet365,1.85,2.0,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.36,1.29,1.62,bet365,12.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,8.5,bet365,7.0,bet365,11.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,21.0,bet365,17.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.0,1.23,bet365,3.3,1.33,bet365,2.1,1.7,bet365,1.38,3.0,bet365,1.14,5.75,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,Betano.br,18.5,10.0,1.07,Betano.br,9.25,6.1,1.22,bet365,4.0,4.0,1.62,Betano.br,1.39,4.6,6.5,Betano.br,1.12,7.8,15.0,,0.0,0.0,0.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,9.0,2.0,3.0,0.0,6.0,2.0,,,,,,,,,,,,,5.0,3.0,,,,,,,2.0,2.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.59,0.41,4.0,0.0,2.0,0.0,2.0,0.0,,,3.0,1.0,1.0,1.0,,,,,0.0,0.0,,,,,,,0.45,0.55,5.0,2.0,1.0,0.0,4.0,2.0,,,2.0,2.0,1.0,1.0,,,,,,,0.0,0.0
bBrMiv4M,SWEDEN,2023,Superettan 2023,SWEDEN 2,26/11/2023,12:00,Relegation,Orgryte,Nordic United,1,0,[18],[],bet365,2.0,2.4,6.0,bet365,1.44,4.2,6.0,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.65,2.2,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.8,1.91,bet365,1.11,1.2,2.5,bet365,13.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,8.0,bet365,8.5,bet365,19.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,10.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.3,1.6,bet365,1.8,2.05,bet365,1.48,2.6,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,bet365,2.25,3.75,2.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.42,0.58,,,,,,,,,,,9.0,5.0,3.0,1.0,6.0,4.0,,,,,,,,,,,,,6.0,3.0,,,,,,,0.0,3.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.41,0.59,6.0,1.0,3.0,0.0,3.0,1.0,,,4.0,2.0,,,,,,,0.0,2.0,,,,,,,0.43,0.57,3.0,4.0,0.0,1.0,3.0,3.0,,,2.0,1.0,0.0,3.0,,,,,,,1.0,0.0
MRdmx7ea,SWEDEN,2023,Superettan 2023,SWEDEN 2,23/11/2023,15:00,Relegation,Falkenberg,Skovde AIK,2,2,"[44, 90]","[15, 78]",bet365,2.75,2.1,4.0,bet365,2.0,3.4,3.1,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.98,1.88,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.83,1.83,bet365,1.33,1.29,1.67,bet365,10.0,bet365,9.5,bet365,17.0,bet365,34.0,bet365,7.5,bet365,7.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,19.0,bet365,17.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,3.8,1.25,bet365,3.1,1.35,bet365,2.05,1.75,bet365,1.33,3.3,bet365,1.12,6.25,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,18.0,9.75,1.07,Betano.br,8.75,5.9,1.24,bet365,4.0,4.0,1.67,Betano.br,1.35,4.75,7.2,Betano.br,1.1,8.25,16.5,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,8.0,8.0,4.0,5.0,4.0,3.0,,,,,,,,,,,,,7.0,2.0,,,,,,,1.0,4.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,0.55,0.45,3.0,3.0,1.0,2.0,2.0,1.0,,,5.0,0.0,1.0,2.0,,,,,1.0,0.0,,,,,,,0.59,0.41,5.0,5.0,3.0,3.0,2.0,2.0,,,2.0,2.0,0.0,2.0,,,,,,,2.0,2.0
vHOAxkxf,SWEDEN,2023,Superettan 2023,SWEDEN 2,11/11/2023,11:00,Round 30,AFC Eskilstuna,Orebro,3,0,"[60, 65, 76]",[],bet365,3.25,2.25,3.0,bet365,2.63,3.4,2.4,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.53,1.3,1.44,bet365,13.0,bet365,10.0,bet365,13.0,bet365,23.0,bet365,11.0,bet365,7.0,bet365,9.5,bet365,19.0,bet365,15.0,bet365,10.0,bet365,12.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.5,1.15,bet365,4.4,1.2,bet365,2.6,1.48,bet365,1.55,2.38,bet365,1.25,3.8,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,11.75,7.1,1.16,Betano.br,5.3,4.45,1.47,bet365,1.53,4.33,4.75,Betano.br,1.2,6.5,9.75,Betano.br,1.06,10.5,19.5,,,,,,,,,,,0.52,0.48,,,,,,,,,,,18.0,4.0,11.0,4.0,7.0,0.0,,,,,,,,,,,,,7.0,3.0,,,,,,,2.0,0.0,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,0.52,0.48,4.0,1.0,2.0,1.0,2.0,0.0,,,2.0,2.0,,,,,,,1.0,2.0,,,,,,,0.52,0.48,14.0,3.0,9.0,3.0,5.0,0.0,,,5.0,1.0,2.0,0.0,,,,,,,3.0,6.0
nsSIzT66,SWEDEN,2023,Superettan 2023,SWEDEN 2,11/11/2023,11:00,Round 30,Brage,Jonkoping,4,0,"[15, 40, 56, 68]",[],bet365,3.0,2.3,3.25,bet365,2.38,3.3,2.7,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.57,2.25,bet365,1.44,1.33,1.53,bet365,13.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,11.0,bet365,6.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,12.0,bet365,26.0,bet365,23.0,bet365,19.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.38,1.55,bet365,1.45,2.68,bet365,1.19,4.5,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,Betano.br,19.5,10.75,1.06,Betano.br,10.0,6.6,1.19,bet365,4.75,4.33,1.53,Betano.br,1.5,4.4,5.2,Betano.br,1.17,7.0,11.25,,0.0,0.0,0.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,15.0,5.0,9.0,2.0,6.0,3.0,,,,,,,,,,,,,8.0,2.0,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,0.66,0.34,9.0,2.0,5.0,1.0,4.0,1.0,,,5.0,0.0,,,,,,,1.0,3.0,,,,,,,0.54,0.46,6.0,3.0,4.0,1.0,2.0,2.0,,,3.0,2.0,,,,,,,,,1.0,2.0
ttqzqiaQ,SWEDEN,2023,Superettan 2023,SWEDEN 2,11/11/2023,11:00,Round 30,GAIS,Utsikten,0,1,[],[44],bet365,2.5,2.3,4.0,bet365,1.91,3.8,3.3,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.33,1.25,1.83,bet365,15.0,bet365,13.0,bet365,19.0,bet365,41.0,bet365,9.0,bet365,7.5,bet365,12.0,bet365,26.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.93,1.93,bet365,1.3,3.45,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,13.0,8.25,1.12,Betano.br,6.3,5.3,1.35,bet365,3.4,4.0,1.83,Betano.br,1.3,5.3,7.6,Betano.br,1.09,8.75,16.5,,0.0,0.0,0.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,21.0,14.0,10.0,7.0,11.0,7.0,,,,,,,,,,,,,5.0,4.0,,,,,,,3.0,4.0,,,,,6.0,10.0,,,,,,,,,,,,,,,,,,,0.6,0.4,8.0,10.0,3.0,5.0,5.0,5.0,,,4.0,3.0,1.0,2.0,,,,,4.0,3.0,,,,,,,0.6,0.4,13.0,4.0,7.0,2.0,6.0,2.0,,,1.0,1.0,2.0,2.0,,,,,,,2.0,7.0
YwOEy9i0,SWEDEN,2023,Superettan 2023,SWEDEN 2,11/11/2023,11:00,Round 30,Gefle,Trelleborg,1,1,[5],[84],bet365,2.4,2.5,3.75,bet365,1.85,4.0,3.3,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.33,1.22,1.91,bet365,19.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,11.0,bet365,8.5,bet365,12.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,13.0,bet365,26.0,bet365,17.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.93,1.93,bet365,1.33,3.3,bet365,1.13,6.0,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,12.5,8.5,1.12,Betano.br,6.3,5.4,1.34,bet365,3.2,4.0,1.91,Betano.br,1.33,5.3,6.8,Betano.br,1.11,8.5,14.5,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,9.0,5.0,8.0,2.0,1.0,3.0,,,,,,,,,,,,,5.0,4.0,,,,,,,1.0,2.0,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,0.59,0.41,7.0,1.0,6.0,0.0,1.0,1.0,,,3.0,1.0,0.0,1.0,,,,,0.0,5.0,,,,,,,0.43,0.57,2.0,4.0,2.0,2.0,0.0,2.0,,,2.0,3.0,1.0,1.0,,,,,,,1.0,2.0
0QP6wVMm,SWEDEN,2023,Superettan 2023,SWEDEN 2,11/11/2023,11:00,Round 30,Landskrona,Orgryte,1,2,[18],"[29, 71]",bet365,3.4,2.38,2.75,bet365,2.88,3.6,2.15,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.5,2.5,bet365,1.67,1.29,1.4,bet365,17.0,bet365,11.0,bet365,13.0,bet365,21.0,bet365,13.0,bet365,7.5,bet365,9.0,bet365,15.0,bet365,17.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,34.0,bet365,21.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,5.25,1.16,bet365,3.0,1.38,bet365,1.7,2.1,bet365,1.35,3.1,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,12.5,7.6,1.14,Betano.br,5.9,4.75,1.4,bet365,1.67,4.33,4.0,Betano.br,1.26,6.0,7.9,Betano.br,1.09,9.5,16.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,7.0,13.0,3.0,6.0,4.0,7.0,,,,,,,,,,,,,6.0,12.0,,,,,,,4.0,2.0,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,0.49,0.51,6.0,5.0,3.0,1.0,3.0,4.0,,,4.0,5.0,1.0,0.0,,,,,0.0,2.0,,,,,,,0.53,0.47,1.0,8.0,0.0,5.0,1.0,3.0,,,2.0,7.0,3.0,2.0,,,,,,,4.0,0.0
8dGRY6yJ,SWEDEN,2023,Superettan 2023,SWEDEN 2,11/11/2023,11:00,Round 30,Oster,Sundsvall,4,0,"[13, 50, 66, 88]",[],bet365,1.57,3.0,10.0,bet365,1.18,6.0,13.0,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.0,1.73,bet365,3.5,1.29,bet365,2.0,1.75,bet365,1.04,1.13,4.5,bet365,19.0,bet365,34.0,bet365,67.0,bet365,201.0,bet365,9.5,bet365,12.0,bet365,41.0,bet365,81.0,bet365,7.0,bet365,10.0,bet365,23.0,bet365,67.0,bet365,7.5,bet365,11.0,bet365,26.0,bet365,67.0,bet365,2.35,1.58,bet365,1.9,1.95,bet365,1.55,2.38,bet365,1.26,3.7,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,3.55,4.6,1.7,bet365,2.3,4.33,2.38,Betano.br,1.47,4.55,5.2,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.61,0.39,,,,,,,,,,,16.0,6.0,9.0,2.0,7.0,4.0,,,,,,,,,,,,,9.0,1.0,,,,,,,1.0,1.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,0.55,0.45,7.0,4.0,6.0,1.0,1.0,3.0,,,4.0,1.0,,,,,,,1.0,5.0,,,,,,,0.67,0.33,9.0,2.0,3.0,1.0,6.0,1.0,,,5.0,0.0,1.0,1.0,,,,,,,1.0,0.0
