Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
Uw3pOpTk,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,31/05/2024,15:30,Relegation,Thun,Grasshoppers,1,2,[43],"[3, 90]",bet365,3.1,2.2,3.25,bet365,2.45,3.6,2.7,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.03,13.0,bet365,1.22,3.75,bet365,1.83,1.98,bet365,3.0,1.33,bet365,6.0,1.1,bet365,1.62,2.05,bet365,1.44,1.29,1.53,bet365,12.0,bet365,9.5,bet365,15.0,bet365,29.0,bet365,9.0,bet365,7.0,bet365,10.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,13.0,bet365,29.0,bet365,23.0,bet365,19.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.65,1.18,bet365,3.8,1.25,bet365,2.38,1.55,bet365,1.48,2.6,bet365,1.2,4.4,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,Betano.br,21.0,11.25,1.07,Betano.br,9.75,6.5,1.23,bet365,4.75,4.33,1.53,Betano.br,1.4,4.8,6.9,Betano.br,1.12,8.5,16.5,Betano.br,1.03,14.5,32.0,2.6,1.26,,,,,,,,,0.48,0.52,0.0,0.0,,,,,,,,,16.0,14.0,3.0,4.0,13.0,10.0,,,,,,,,,,,,,5.0,7.0,9.0,10.0,18.0,28.0,10.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,,,,,,,7.0,8.0,,,,,2.02,0.55,,,,,0.57,0.43,12.0,6.0,2.0,2.0,10.0,4.0,,,4.0,2.0,0.0,1.0,4.0,8.0,0.0,0.0,1.0,1.0,0.58,0.71,,,,,0.39,0.61,4.0,8.0,1.0,2.0,3.0,6.0,,,1.0,5.0,1.0,2.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0
x6oCtgqH,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,26/05/2024,11:30,Relegation,Grasshoppers,Thun,1,1,[90],[52],bet365,2.88,2.2,3.6,bet365,2.2,3.4,3.2,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.36,1.3,1.67,bet365,11.0,bet365,11.0,bet365,17.0,bet365,34.0,bet365,8.5,bet365,6.5,bet365,12.0,bet365,23.0,bet365,11.0,bet365,9.0,bet365,13.0,bet365,29.0,bet365,21.0,bet365,17.0,bet365,26.0,bet365,41.0,,0.0,0.0,bet365,7.0,1.1,bet365,4.1,1.23,bet365,3.3,1.33,bet365,2.15,1.68,bet365,1.35,3.1,bet365,1.14,5.75,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,Betano.br,20.0,10.75,1.08,Betano.br,9.0,6.1,1.26,bet365,4.0,4.0,1.67,Betano.br,1.34,5.1,7.8,Betano.br,1.1,9.25,19.0,Betano.br,1.03,15.5,35.0,,,,,,,,,,,0.67,0.33,,,,,,,,,,,18.0,7.0,7.0,5.0,7.0,2.0,4.0,0.0,,,,,,,,,,,19.0,0.0,22.0,6.0,29.0,12.0,3.0,21.0,1.0,6.0,,,3.0,1.0,4.0,6.0,,,,,,,,,,,,,,,,,,,0.68,0.32,5.0,3.0,0.0,1.0,3.0,2.0,,,10.0,0.0,0.0,1.0,1.0,11.0,1.0,1.0,1.0,0.0,,,,,,,0.66,0.34,13.0,4.0,7.0,4.0,4.0,0.0,,,9.0,0.0,1.0,5.0,,,2.0,10.0,2.0,0.0,3.0,6.0
2e1yYXKa,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,25/05/2024,15:30,Championship Group,Lugano,Servette,0,2,[],"[4, 52]",bet365,3.25,2.5,2.75,bet365,2.9,3.8,2.2,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.44,2.63,bet365,1.67,1.25,1.4,bet365,19.0,bet365,13.0,bet365,15.0,bet365,21.0,bet365,15.0,bet365,7.5,bet365,9.5,bet365,15.0,bet365,19.0,bet365,11.0,bet365,11.0,bet365,19.0,bet365,34.0,bet365,21.0,bet365,23.0,bet365,29.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.85,1.4,bet365,1.65,2.2,bet365,1.35,3.1,bet365,1.24,3.9,bet365,1.1,7.0,,0.0,0.0,Betano.br,25.0,13.5,1.05,Betano.br,12.5,8.0,1.15,Betano.br,5.7,5.0,1.44,bet365,1.67,4.33,3.75,Betano.br,1.26,6.4,8.25,Betano.br,1.09,10.5,17.5,1.41,1.21,,,,,,,,,0.56,0.44,0.0,0.0,,,,,,,,,15.0,17.0,3.0,6.0,12.0,11.0,,,,,,,,,,,,,2.0,7.0,13.0,19.0,23.0,15.0,16.0,12.0,1.0,2.0,,,3.0,1.0,4.0,3.0,,,,,,,8.0,10.0,,,,,0.44,0.59,,,,,0.5,0.5,7.0,11.0,1.0,4.0,6.0,7.0,,,1.0,5.0,0.0,1.0,9.0,5.0,2.0,0.0,3.0,1.0,0.97,0.62,,,,,0.62,0.38,8.0,6.0,2.0,2.0,6.0,4.0,,,1.0,2.0,1.0,1.0,,,7.0,7.0,1.0,1.0,1.0,2.0
bNfpWBkC,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,25/05/2024,15:30,Championship Group,St. Gallen,Zurich,1,2,[16],"[24, 44]",bet365,2.3,2.5,4.0,bet365,1.8,4.2,3.75,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.25,1.33,bet365,1.44,2.63,bet365,1.25,1.22,1.95,bet365,21.0,bet365,17.0,bet365,23.0,bet365,41.0,bet365,12.0,bet365,8.5,bet365,13.0,bet365,26.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,17.0,bet365,13.0,bet365,17.0,bet365,34.0,bet365,5.5,1.15,bet365,4.4,1.2,bet365,2.75,1.43,bet365,2.25,1.63,bet365,1.75,2.05,bet365,1.28,3.55,bet365,1.11,6.6,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,11.25,8.25,1.16,Betano.br,5.5,5.4,1.42,bet365,2.88,4.0,1.95,Betano.br,1.28,5.9,8.25,Betano.br,1.09,10.0,18.0,Betano.br,1.03,15.5,32.0,0.74,1.4,,,,,,,,,0.49,0.51,0.0,0.0,,,,,,,,,14.0,19.0,5.0,6.0,9.0,13.0,,,,,,,,,,,,,5.0,4.0,17.0,14.0,22.0,19.0,13.0,13.0,4.0,3.0,,,1.0,4.0,4.0,4.0,,,,,,,1.0,6.0,,,,,0.29,0.74,,,,,0.44,0.56,5.0,13.0,3.0,5.0,2.0,8.0,,,1.0,2.0,2.0,0.0,5.0,3.0,1.0,3.0,3.0,2.0,0.45,0.66,,,,,0.54,0.46,9.0,6.0,2.0,1.0,7.0,5.0,,,4.0,2.0,2.0,3.0,,,8.0,10.0,0.0,1.0,1.0,2.0
6mbhUkKO,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,25/05/2024,15:30,Championship Group,Young Boys,Winterthur,3,0,"[50, 69, 90]",[],bet365,1.8,2.88,6.0,bet365,1.38,5.5,6.5,bet365,1.18,4.5,bet365,1.9,1.9,bet365,3.75,1.25,bet365,1.01,26.0,bet365,1.08,8.0,bet365,1.3,3.5,bet365,1.73,2.0,bet365,2.63,1.44,bet365,1.5,2.5,bet365,1.11,1.14,3.0,bet365,29.0,bet365,29.0,bet365,41.0,bet365,67.0,bet365,13.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,10.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,11.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,3.0,1.38,bet365,2.43,1.53,bet365,1.91,1.86,bet365,1.53,2.43,bet365,1.35,3.1,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,5.3,5.7,1.42,Betano.br,2.95,4.5,1.95,bet365,1.91,4.33,3.0,Betano.br,1.11,9.0,16.5,Betano.br,1.03,14.5,32.0,,0.0,0.0,0.0,2.36,0.41,,,,,,,,,0.58,0.42,0.0,0.0,,,,,,,,,22.0,11.0,9.0,2.0,13.0,9.0,,,,,,,,,,,,,8.0,2.0,11.0,15.0,10.0,18.0,13.0,10.0,4.0,2.0,,,2.0,3.0,2.0,6.0,,,,,,,8.0,4.0,,,,,0.75,0.2,,,,,0.62,0.38,9.0,5.0,5.0,1.0,4.0,4.0,,,6.0,0.0,2.0,1.0,7.0,5.0,2.0,3.0,1.0,5.0,1.61,0.21,,,,,0.54,0.46,13.0,6.0,4.0,1.0,9.0,5.0,,,2.0,2.0,2.0,1.0,,,6.0,5.0,0.0,0.0,1.0,1.0
Us3TZgjm,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,21/05/2024,15:30,Relegation Group,Basel,Yverdon,0,0,[],[],bet365,1.91,2.75,5.5,bet365,1.45,5.0,5.75,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.57,2.25,bet365,1.14,1.17,2.63,bet365,21.0,bet365,21.0,bet365,34.0,bet365,67.0,bet365,11.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,9.5,bet365,8.5,bet365,15.0,bet365,34.0,bet365,12.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,3.55,1.28,bet365,3.0,1.38,bet365,2.1,1.7,bet365,1.68,2.15,bet365,1.45,2.68,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.7,6.2,1.32,Betano.br,3.5,4.5,1.78,bet365,2.1,4.0,2.63,Betano.br,1.14,8.25,15.0,Betano.br,1.04,14.0,30.0,,0.0,0.0,0.0,1.81,0.59,,,,,,,,,0.53,0.47,0.0,0.0,,,,,,,,,14.0,10.0,5.0,0.0,9.0,10.0,,,,,,,,,,,,,6.0,3.0,18.0,17.0,17.0,17.0,14.0,17.0,3.0,4.0,,,5.0,4.0,0.0,5.0,,,,,,,6.0,8.0,,,,,0.85,0.16,,,,,0.48,0.52,6.0,5.0,2.0,0.0,4.0,5.0,,,4.0,2.0,3.0,0.0,9.0,9.0,3.0,0.0,0.0,2.0,0.96,0.43,,,,,0.58,0.42,8.0,5.0,3.0,0.0,5.0,5.0,,,2.0,1.0,0.0,4.0,,,5.0,8.0,2.0,4.0,0.0,3.0
xAoeh26E,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,21/05/2024,15:30,Relegation Group,Lausanne,Grasshoppers,0,0,[],[],bet365,2.1,2.63,4.33,bet365,1.65,4.2,4.75,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.44,2.63,bet365,1.18,1.22,2.2,bet365,21.0,bet365,21.0,bet365,29.0,bet365,51.0,bet365,12.0,bet365,9.0,bet365,15.0,bet365,29.0,bet365,11.0,bet365,9.0,bet365,12.0,bet365,29.0,bet365,15.0,bet365,12.0,bet365,17.0,bet365,29.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.5,1.5,bet365,2.05,1.8,bet365,1.63,2.25,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,9.25,7.5,1.21,Betano.br,4.7,5.1,1.52,bet365,2.5,4.0,2.2,Betano.br,1.25,6.4,8.75,Betano.br,1.08,10.75,19.0,Betano.br,1.03,16.0,32.0,1.35,0.48,,,,,,,,,0.55,0.45,0.0,0.0,,,,,,,,,18.0,5.0,3.0,1.0,15.0,4.0,,,,,,,,,,,,,4.0,3.0,13.0,14.0,23.0,21.0,15.0,12.0,2.0,2.0,,,0.0,3.0,1.0,3.0,,,,,,,5.0,6.0,,,,,0.3,0.44,,,,,0.51,0.49,9.0,4.0,1.0,1.0,8.0,3.0,,,2.0,0.0,2.0,2.0,9.0,5.0,0.0,1.0,1.0,1.0,1.05,0.04,,,,,0.6,0.4,9.0,1.0,2.0,0.0,7.0,1.0,,,2.0,3.0,,,,,6.0,7.0,0.0,2.0,0.0,2.0
A3g9UbE7,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,21/05/2024,15:30,Relegation Group,Luzern,Lausanne Ouchy,1,2,[88],"[14, 15]",bet365,1.67,3.1,6.0,bet365,1.3,6.0,7.5,bet365,1.17,5.0,bet365,1.8,2.0,bet365,3.5,1.29,bet365,1.01,29.0,bet365,1.07,9.0,bet365,1.25,4.0,bet365,1.67,2.1,bet365,2.5,1.5,bet365,1.5,2.5,bet365,1.1,1.13,3.4,bet365,34.0,bet365,34.0,bet365,51.0,bet365,81.0,bet365,15.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,11.0,bet365,9.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,2.68,1.45,bet365,2.2,1.65,bet365,1.75,2.05,bet365,1.4,2.85,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,4.8,5.6,1.47,bet365,2.63,4.5,2.0,Betano.br,1.78,4.55,3.45,Betano.br,1.11,9.25,15.5,Betano.br,1.03,14.5,30.0,,0.0,0.0,0.0,1.79,0.84,,,,,,,,,0.49,0.51,0.0,0.0,,,,,,,,,10.0,10.0,5.0,4.0,5.0,6.0,,,,,,,,,,,,,7.0,2.0,5.0,21.0,24.0,11.0,10.0,5.0,2.0,1.0,,,11.0,2.0,2.0,4.0,,,,,,,4.0,6.0,,,,,0.28,0.66,,,,,0.46,0.54,5.0,5.0,2.0,4.0,3.0,1.0,,,5.0,0.0,,,5.0,1.0,6.0,1.0,2.0,2.0,1.51,0.18,,,,,0.53,0.47,5.0,5.0,3.0,0.0,2.0,5.0,,,2.0,2.0,2.0,1.0,,,5.0,4.0,5.0,1.0,0.0,2.0
ll50WKqe,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,20/05/2024,13:00,Championship Group,Servette,Young Boys,0,1,[],[73],bet365,2.4,2.5,3.75,bet365,1.91,4.1,3.4,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.5,2.5,bet365,1.3,1.22,1.83,bet365,19.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,11.0,bet365,8.0,bet365,12.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,17.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,6.4,1.12,bet365,5.75,1.14,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.95,1.9,bet365,1.33,3.3,bet365,1.13,5.9,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,Betano.br,13.5,9.25,1.13,Betano.br,6.6,5.7,1.35,bet365,3.2,4.0,1.83,Betano.br,1.33,5.5,7.3,Betano.br,1.11,9.25,16.5,Betano.br,1.03,15.0,30.0,0.12,0.71,,,,,,,,,0.45,0.55,0.0,0.0,,,,,,,,,5.0,14.0,0.0,2.0,5.0,12.0,,,,,,,,,,,,,2.0,5.0,13.0,9.0,31.0,21.0,7.0,15.0,0.0,1.0,,,1.0,0.0,1.0,0.0,,,,,,,10.0,13.0,,,,,0.07,0.14,,,,,0.49,0.51,3.0,7.0,0.0,1.0,3.0,6.0,,,1.0,0.0,,,3.0,7.0,1.0,0.0,1.0,0.0,0.05,0.57,,,,,0.41,0.59,2.0,7.0,0.0,1.0,2.0,6.0,,,1.0,5.0,0.0,1.0,,,4.0,8.0,0.0,0.0,0.0,0.0
tO1hYtFr,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,20/05/2024,13:00,Championship Group,Winterthur,St. Gallen,1,3,[84],"[12, 31, 85]",bet365,3.5,2.63,2.4,bet365,3.4,4.0,1.95,bet365,1.2,4.33,bet365,2.0,1.8,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.36,3.0,bet365,1.8,1.22,1.3,bet365,26.0,bet365,15.0,bet365,15.0,bet365,21.0,bet365,21.0,bet365,9.0,bet365,9.5,bet365,13.0,bet365,23.0,bet365,13.0,bet365,11.0,bet365,17.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,26.0,,0.0,0.0,,0.0,0.0,bet365,6.4,1.12,bet365,5.75,1.14,bet365,3.3,1.33,bet365,1.9,1.95,bet365,1.5,2.5,bet365,1.35,3.1,bet365,1.16,5.25,bet365,1.13,5.9,Betano.br,26.0,14.0,1.04,Betano.br,13.5,8.75,1.13,Betano.br,6.4,5.5,1.37,bet365,1.8,4.33,3.1,Betano.br,1.35,5.8,6.4,Betano.br,1.13,9.25,13.0,1.59,1.2,,,,,,,,,0.54,0.46,0.0,0.0,,,,,,,,,14.0,13.0,4.0,10.0,10.0,3.0,,,,,,,,,,,,,4.0,2.0,10.0,11.0,26.0,23.0,13.0,10.0,2.0,1.0,,,2.0,1.0,7.0,3.0,,,,,,,13.0,11.0,,,,,0.31,0.75,,,,,0.55,0.45,4.0,6.0,0.0,5.0,4.0,1.0,,,2.0,0.0,,,5.0,4.0,2.0,0.0,3.0,0.0,1.28,0.45,,,,,0.53,0.47,10.0,7.0,4.0,5.0,6.0,2.0,,,2.0,2.0,2.0,1.0,,,8.0,6.0,0.0,1.0,4.0,3.0
