Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
MNjZqkas,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,08/03/2026,10:30,Round 19,Karpaty Lviv,Kudrivka,1,1,[5],[66],Betfair,1.91,2.3,6.0,Betfair,1.4,3.9,6.0,Betfair,1.3,3.2,Betfair,2.6,1.44,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,5.5,1.11,Betfair,1.87,1.8,Betfair,1.1,1.2,2.6,Betfair,11.0,Betfair,13.0,Betfair,34.0,Betfair,67.0,Betfair,6.0,Betfair,7.0,Betfair,15.0,Betfair,56.0,Betfair,6.5,Betfair,7.0,Betfair,15.0,Betfair,56.0,Betfair,9.0,Betfair,11.0,Betfair,21.0,Betfair,67.0,Superbet.br,4.35,1.18,Estrelabet,3.25,1.25,Estrelabet,2.25,1.5,Betano.br,1.82,1.9,Estrelabet,1.5,2.25,Superbet.br,1.13,5.1,1xBet,1.02,11.5,1xBet,1.01,12.3,,0.0,0.0,,0.0,0.0,Estrelabet,8.5,6.0,1.15,Estrelabet,4.2,4.2,1.48,Betano.br,2.37,3.45,2.5,Estrelabet,1.11,6.0,12.0,BetEsporte,1.02,10.0,35.0,BetEsporte,1.01,11.0,45.0,,,,,,,,,,,0.42,0.58,,,,,,,,,,,9.0,9.0,2.0,2.0,7.0,7.0,,,,,,,,,,,,,2.0,8.0,9.0,13.0,,,16.0,11.0,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.53,0.47,8.0,1.0,2.0,1.0,6.0,0.0,,,2.0,3.0,0.0,1.0,5.0,6.0,0.0,1.0,,,,,,,,,0.31,0.69,1.0,8.0,0.0,1.0,1.0,7.0,,,0.0,5.0,1.0,2.0,,,11.0,5.0,1.0,0.0,,
j3rjt7b6,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,08/03/2026,08:00,Round 19,FK Zorya Luhansk,SC Poltava,4,0,"[2, 13, 51, 59]",[],Betfair,1.73,2.6,7.0,Betfair,1.25,4.75,7.5,Betfair,1.22,3.8,Betfair,2.4,1.5,Betfair,5.5,1.11,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.87,1.8,Betfair,1.06,1.14,3.3,Betfair,15.0,Betfair,19.0,Betfair,56.0,Betfair,67.0,Betfair,6.5,Betfair,8.5,Betfair,19.0,Betfair,67.0,Betfair,6.0,Betfair,7.5,Betfair,15.0,Betfair,61.0,Betfair,8.0,Betfair,9.0,Betfair,19.0,Betfair,67.0,Superbet.br,3.2,1.3,1xBet,2.66,1.44,Betano.br,1.87,1.83,Superbet.br,1.47,2.4,Superbet.br,1.32,3.1,SeguroBet,1.08,6.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,5.75,5.33,1.26,Estrelabet,3.0,4.0,1.76,Betano.br,1.88,3.75,3.2,BetEsporte,1.07,8.0,20.0,BetEsporte,1.01,11.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,14.0,4.0,6.0,1.0,8.0,3.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,3.0,1.0,4.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,7.0,1.0,3.0,0.0,4.0,1.0,,,0.0,1.0,,,,,,,,,,
IkprrTTg,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,07/03/2026,10:30,Round 19,Obolon,Kryvbas,0,0,[],[],Betfair,3.75,2.0,2.8,Betfair,3.0,3.0,2.1,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.0,1.05,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.1,1.65,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.83,1.83,Betfair,1.62,1.3,1.3,Betfair,8.0,Betfair,6.5,Betfair,9.0,Betfair,17.0,Betfair,8.0,Betfair,5.5,Betfair,8.0,Betfair,15.0,Betfair,13.0,Betfair,10.0,Betfair,13.0,Betfair,26.0,Betfair,36.0,Betfair,23.0,Betfair,36.0,Betfair,67.0,,0.0,0.0,1xBet,14.2,1.01,1xBet,7.81,1.08,1xBet,6.46,1.11,Superbet.br,3.15,1.31,Estrelabet,1.58,2.08,1xBet,1.34,3.27,Superbet.br,1.18,4.25,1xBet,1.05,8.45,1xBet,1.04,9.3,BetEsporte,35.0,11.0,1.01,BetEsporte,18.0,8.0,1.08,Estrelabet,7.5,4.33,1.27,Betano.br,1.62,3.7,4.4,Estrelabet,1.16,5.5,9.0,BetEsporte,1.04,10.0,23.0,,,,,,,,,,,0.4,0.6,,,,,,,,,,,3.0,12.0,0.0,1.0,3.0,11.0,,,,,,,,,,,,,1.0,6.0,18.0,10.0,,,0.0,0.0,2.0,2.0,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,0.43,0.57,0.0,3.0,0.0,0.0,0.0,3.0,,,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,0.37,0.63,3.0,9.0,0.0,1.0,3.0,8.0,,,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,
2JXAqLm1,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,07/03/2026,08:00,Round 19,Epitsentr,Kolos Kovalivka,4,0,"[33, 45, 56, 62]",[],Betfair,3.75,2.0,2.88,Betfair,3.1,3.0,2.1,Betfair,1.44,2.6,Betfair,3.3,1.29,Betfair,9.0,1.03,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.05,Betfair,1.95,1.73,Betfair,1.62,1.3,1.3,Betfair,7.5,Betfair,6.0,Betfair,8.5,Betfair,17.0,Betfair,7.5,Betfair,5.5,Betfair,8.0,Betfair,15.0,Betfair,13.0,Betfair,10.0,Betfair,13.0,Betfair,31.0,Betfair,36.0,Betfair,26.0,Betfair,36.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,1xBet,8.5,1.05,1xBet,7.75,1.09,Superbet.br,3.5,1.26,Estrelabet,1.57,2.1,1xBet,1.38,3.05,Superbet.br,1.21,3.9,1xBet,1.04,9.18,1xBet,1.03,9.95,BetEsporte,40.0,11.0,1.01,BetEsporte,21.0,8.4,1.06,Estrelabet,7.5,4.33,1.27,Betano.br,1.65,3.6,4.4,Estrelabet,1.14,5.66,10.0,BetEsporte,1.03,9.8,24.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,11.0,6.0,6.0,0.0,5.0,6.0,,,,,,,,,,,,,4.0,2.0,12.0,12.0,,,13.0,13.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.58,0.42,6.0,3.0,3.0,0.0,3.0,3.0,,,4.0,1.0,1.0,1.0,4.0,7.0,0.0,1.0,,,,,,,,,0.4,0.6,5.0,3.0,3.0,0.0,2.0,3.0,,,0.0,1.0,1.0,0.0,1.0,0.0,9.0,6.0,0.0,0.0,,
ju03kByK,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,06/03/2026,08:00,Round 19,Oleksandriya,Shakhtar Donetsk,0,1,[],[61],Betfair,10.0,2.75,1.53,Betfair,12.0,5.0,1.14,Betfair,1.25,3.6,Betfair,2.25,1.57,Betfair,5.5,1.11,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,2.3,1.53,Betfair,4.5,1.1,1.03,Betfair,15.0,Betfair,6.0,Betfair,5.0,Betfair,6.0,Betfair,23.0,Betfair,10.0,Betfair,8.0,Betfair,9.5,Betfair,67.0,Betfair,34.0,Betfair,23.0,Betfair,29.0,Betfair,67.0,Betfair,67.0,Betfair,67.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,SeguroBet,8.7,1.04,Superbet.br,3.75,1.23,1xBet,3.31,1.3,Betano.br,1.93,1.78,Superbet.br,1.56,2.22,Superbet.br,1.38,2.82,,0.0,0.0,0.0,BetEsporte,50.0,11.0,1.01,BetEsporte,28.0,8.8,1.04,Estrelabet,3.75,3.66,1.63,Betano.br,2.07,3.7,2.77,Estrelabet,1.35,4.75,5.0,,,,,,,,,,,0.35,0.65,,,,,,,,,,,3.0,13.0,1.0,4.0,2.0,9.0,,,,,,,,,,,,,1.0,5.0,5.0,5.0,,,5.0,5.0,3.0,0.0,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,0.25,0.75,2.0,8.0,1.0,2.0,1.0,6.0,,,0.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0,,,,,,,,,0.45,0.55,1.0,5.0,0.0,2.0,1.0,3.0,,,1.0,2.0,2.0,0.0,,,2.0,4.0,0.0,1.0,,
h65LY3Zr,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,02/03/2026,08:00,Round 18,SC Poltava,Kudrivka,0,2,[],"[67, 90]",Betfair,4.5,2.3,2.1,Betfair,4.5,3.5,1.57,Betfair,1.29,3.3,Betfair,2.6,1.44,Betfair,6.5,1.08,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.7,2.0,Betfair,2.2,1.22,1.14,Betfair,11.0,Betfair,6.5,Betfair,7.0,Betfair,11.0,Betfair,12.0,Betfair,6.5,Betfair,7.0,Betfair,11.0,Betfair,23.0,Betfair,13.0,Betfair,12.0,Betfair,17.0,Betfair,67.0,Betfair,36.0,Betfair,36.0,Betfair,51.0,,0.0,0.0,,0.0,0.0,1xBet,8.8,1.05,1xBet,9.4,1.04,Superbet.br,3.9,1.21,Estrelabet,2.0,1.63,Superbet.br,1.58,2.2,Superbet.br,1.38,2.82,1xBet,1.18,4.98,1xBet,1.13,5.94,BetEsporte,45.0,11.0,1.01,BetEsporte,30.0,10.0,1.02,Estrelabet,9.0,5.33,1.17,Betano.br,2.07,3.6,2.87,Estrelabet,1.35,4.5,5.33,BetEsporte,1.15,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,2.0,3.0,3.0,4.0,,,,,,,,,,,,,4.0,4.0,6.0,9.0,,,,,4.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,0.0,3.0,1.0,,,4.0,2.0,1.0,1.0,,,0.0,0.0,,,,,,,,,,,2.0,6.0,2.0,3.0,0.0,3.0,,,0.0,2.0,3.0,1.0,,,,,0.0,0.0,,
b5mmiCkA,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,01/03/2026,13:00,Round 18,Karpaty Lviv,Kolos Kovalivka,0,1,[],[62],Betfair,3.0,1.91,3.75,Betfair,2.2,2.8,3.1,Betfair,1.5,2.4,Betfair,3.6,1.25,Betfair,10.0,1.02,Betfair,1.06,7.5,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.0,1.7,Betfair,1.33,1.33,1.57,Betfair,6.5,Betfair,7.0,Betfair,13.0,Betfair,36.0,Betfair,5.5,Betfair,5.5,Betfair,10.0,Betfair,26.0,Betfair,9.0,Betfair,9.0,Betfair,15.0,Betfair,46.0,Betfair,19.0,Betfair,19.0,Betfair,34.0,Betfair,67.0,1xBet,10.5,1.03,1xBet,9.75,1.03,Superbet.br,4.4,1.17,1xBet,3.55,1.3,Estrelabet,2.1,1.57,Superbet.br,1.32,3.15,1xBet,1.11,6.53,1xBet,1.08,7.95,,0.0,0.0,,0.0,0.0,BetEsporte,25.0,10.0,1.03,Estrelabet,11.0,5.66,1.13,Betano.br,4.75,3.65,1.6,Estrelabet,1.27,4.33,7.5,BetEsporte,1.07,8.2,20.0,BetEsporte,1.01,11.0,35.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,12.0,8.0,3.0,4.0,9.0,4.0,,,,,,,,,,,,,6.0,4.0,8.0,8.0,,,9.0,9.0,1.0,4.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,0.48,0.52,6.0,4.0,2.0,1.0,4.0,3.0,,,4.0,2.0,1.0,1.0,4.0,4.0,0.0,2.0,,,,,,,,,0.52,0.48,6.0,4.0,1.0,3.0,5.0,1.0,,,2.0,2.0,0.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,,
0W8TWs4e,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,01/03/2026,10:30,Round 18,Obolon,Rukh Lviv,1,0,[32],[],Betfair,3.5,1.83,3.5,Betfair,2.55,2.7,2.63,Betfair,1.57,2.25,Betfair,3.8,1.22,Betfair,11.0,1.01,Betfair,1.07,7.0,Betfair,1.5,2.4,Betfair,2.75,1.4,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.15,1.6,Betfair,1.4,1.36,1.4,Betfair,6.0,Betfair,6.0,Betfair,11.0,Betfair,26.0,Betfair,6.0,Betfair,5.5,Betfair,9.5,Betfair,23.0,Betfair,10.0,Betfair,9.5,Betfair,15.0,Betfair,51.0,Betfair,26.0,Betfair,26.0,Betfair,41.0,Betfair,67.0,1xBet,13.0,1.01,1xBet,13.7,1.01,Superbet.br,5.65,1.11,1xBet,5.47,1.15,Estrelabet,2.4,1.44,Estrelabet,1.45,2.36,1xBet,1.18,4.77,Superbet.br,1.12,5.35,1xBet,1.02,11.7,1xBet,1.01,12.5,BetEsporte,35.0,11.0,1.01,Estrelabet,13.0,6.33,1.09,Betano.br,6.0,3.9,1.45,Betano.br,1.47,3.85,6.0,Estrelabet,1.11,6.0,12.0,BetEsporte,1.01,11.0,35.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,9.0,7.0,5.0,0.0,4.0,7.0,,,,,,,,,,,,,6.0,7.0,14.0,11.0,,,11.0,16.0,1.0,3.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0.54,0.46,4.0,3.0,3.0,0.0,1.0,3.0,,,2.0,4.0,1.0,0.0,6.0,6.0,0.0,0.0,,,,,,,,,0.52,0.48,5.0,4.0,2.0,0.0,3.0,4.0,,,4.0,3.0,0.0,3.0,,,5.0,10.0,2.0,1.0,,
MocxVLY7,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,01/03/2026,08:00,Round 18,Kryvbas,FK Zorya Luhansk,3,1,"[8, 30, 45]",[2],Betfair,3.6,2.2,2.7,Betfair,2.88,3.1,2.15,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.85,1.85,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.67,2.05,Betfair,1.67,1.25,1.33,Betfair,11.0,Betfair,7.5,Betfair,9.5,Betfair,17.0,Betfair,9.0,Betfair,6.0,Betfair,8.0,Betfair,13.0,Betfair,13.0,Betfair,9.0,Betfair,12.0,Betfair,21.0,Betfair,31.0,Betfair,21.0,Betfair,23.0,Betfair,56.0,1xBet,12.3,1.01,1xBet,12.5,1.01,1xBet,7.19,1.1,1xBet,5.98,1.13,Superbet.br,3.15,1.32,Estrelabet,1.61,2.05,1xBet,1.38,3.03,Superbet.br,1.22,3.85,1xBet,1.08,8.07,1xBet,1.06,8.2,BetEsporte,30.0,11.0,1.01,BetEsporte,16.0,7.8,1.09,Estrelabet,6.5,4.75,1.27,Betano.br,1.65,3.8,4.2,Estrelabet,1.2,5.5,7.5,BetEsporte,1.04,9.6,20.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,14.0,19.0,4.0,8.0,10.0,11.0,,,,,,,,,,,,,5.0,13.0,14.0,5.0,,,5.0,14.0,0.0,2.0,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,0.45,0.55,8.0,9.0,4.0,6.0,4.0,3.0,,,3.0,6.0,,,2.0,8.0,1.0,4.0,,,,,,,,,0.47,0.53,6.0,10.0,0.0,2.0,6.0,8.0,,,2.0,7.0,0.0,2.0,,,3.0,6.0,0.0,3.0,,
ALhWj3eR,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,28/02/2026,10:30,Round 18,Metalist 1925,Oleksandriya,1,0,[83],[],Betfair,2.1,2.1,6.0,Betfair,1.44,3.5,6.0,Betfair,1.44,2.6,Betfair,3.3,1.29,Betfair,8.0,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,2.2,1.57,Betfair,1.1,1.22,2.4,Betfair,8.0,Betfair,12.0,Betfair,31.0,Betfair,67.0,Betfair,5.0,Betfair,6.5,Betfair,17.0,Betfair,67.0,Betfair,5.5,Betfair,7.5,Betfair,17.0,Betfair,67.0,Betfair,9.0,Betfair,13.0,Betfair,31.0,Betfair,67.0,Superbet.br,4.7,1.15,Estrelabet,3.4,1.22,Estrelabet,2.25,1.5,Betano.br,1.88,1.82,Estrelabet,1.47,2.33,Superbet.br,1.1,5.85,1xBet,1.01,14.0,SeguroBet,1.02,10.3,,0.0,0.0,,0.0,0.0,Estrelabet,9.0,6.0,1.14,Estrelabet,4.33,4.2,1.47,Betano.br,2.52,3.25,2.45,Estrelabet,1.1,5.75,15.0,BetEsporte,1.01,10.0,35.0,,0.0,0.0,0.0,,,,,,,,,,,0.74,0.26,,,,,,,,,,,10.0,1.0,3.0,0.0,7.0,1.0,,,,,,,,,,,,,12.0,1.0,10.0,5.0,,,5.0,10.0,1.0,2.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,0.65,0.35,4.0,1.0,2.0,0.0,2.0,1.0,,,9.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,,,,,,,,,0.83,0.17,6.0,0.0,1.0,0.0,5.0,0.0,,,3.0,1.0,0.0,1.0,,,4.0,6.0,2.0,1.0,,
