Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
K0Ti7pdU,USA,2024,Nwsl Women 2024,WOM USA 1,23/11/2024,22:00,Play Offs,Orlando Pride W,Washington Spirit W,1,0,[37],[],Betfair,2.8,2.1,3.75,Betfair,2.1,3.1,3.0,BetEsporte,1.35,2.55,Betano.br,2.47,1.38,BetEsporte,6.0,1.06,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.91,1.8,Betfair,3.3,1.29,Betfair,6.5,1.08,Betfair,1.67,2.05,Estrelabet,1.32,1.27,1.52,Betfair,9.0,Betfair,9.5,Betfair,13.0,Betfair,34.0,Betfair,7.5,Betfair,5.5,Betfair,9.5,Betfair,19.0,Betfair,9.0,Betfair,8.0,Betfair,11.0,Betfair,26.0,Betfair,17.0,Betfair,13.0,Betfair,21.0,Betfair,51.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,2.1,1.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,BetEsporte,16.0,7.8,1.04,BetEsporte,8.0,5.4,1.19,BetEsporte,3.7,3.75,1.58,BetEsporte,1.26,4.6,6.8,BetEsporte,1.06,7.0,15.0,BetEsporte,1.01,8.6,24.0,,,,,,,,,,,0.42,0.58,0.68,0.78,,,,,,,,,13.0,24.0,3.0,5.0,6.0,10.0,4.0,9.0,,,,,,,,,,,3.0,8.0,,,32.0,26.0,16.0,11.0,2.0,4.0,,,1.0,0.0,5.0,2.0,,,,,,,,,,,,,,,,,,,0.5,0.5,5.0,10.0,3.0,1.0,1.0,7.0,,,3.0,2.0,1.0,2.0,8.0,6.0,0.0,0.0,1.0,2.0,,,,,,,0.35,0.65,8.0,14.0,0.0,4.0,5.0,3.0,,,0.0,6.0,1.0,2.0,,,8.0,5.0,1.0,0.0,4.0,0.0
ldJFijTP,USA,2024,Nwsl Women 2024,WOM USA 1,10/11/2024,17:00,Play Offs,Gotham W,Portland Thorns W,2,1,"[67, 90]",[76],Betfair,2.3,2.1,4.5,Betfair,1.67,3.5,4.5,Betano.br,1.36,2.52,Betano.br,2.35,1.42,,0.0,0.0,Betfair,1.02,10.0,Betfair,1.22,3.8,Betfair,1.85,1.85,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.75,1.95,Betano.br,1.17,1.21,2.27,Betfair,9.5,Betfair,12.0,Betfair,21.0,Betfair,61.0,Betfair,6.5,Betfair,6.0,Betfair,13.0,Betfair,31.0,Betfair,7.0,Betfair,7.0,Betfair,13.0,Betfair,36.0,Betfair,12.0,Betfair,11.0,Betfair,21.0,Betfair,56.0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,1.91,1.7,Estrelabet,1.55,2.2,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,0.81,0.71,,,,,,,,,19.0,5.0,5.0,2.0,10.0,3.0,4.0,0.0,,,,,,,,,,,2.0,1.0,,,23.0,19.0,10.0,8.0,1.0,0.0,,,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.56,0.44,4.0,1.0,1.0,0.0,3.0,1.0,,,1.0,1.0,,,5.0,2.0,1.0,1.0,0.0,1.0,,,,,,,0.58,0.42,15.0,4.0,4.0,2.0,7.0,2.0,,,1.0,0.0,1.0,0.0,,,5.0,6.0,2.0,0.0,1.0,2.0
8Sv6RtI0,USA,2024,Nwsl Women 2024,WOM USA 1,16/11/2024,14:00,Play Offs,Washington Spirit W,Gotham W,1,1,[90],[56],Betfair,3.3,2.1,3.1,Betfair,2.7,3.2,2.3,BetEsporte,1.38,2.55,Betano.br,2.4,1.4,BetEsporte,6.4,1.06,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.91,1.8,Betfair,3.3,1.29,BetEsporte,5.2,1.08,Betfair,1.65,2.1,Betano.br,1.55,1.33,1.39,Betfair,8.5,Betfair,8.0,Betfair,11.0,Betfair,21.0,Betfair,8.5,Betfair,5.5,Betfair,8.5,Betfair,15.0,Betfair,12.0,Betfair,9.0,Betfair,11.0,Betfair,23.0,Betfair,26.0,Betfair,17.0,Betfair,23.0,Betfair,56.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,1.5,2.3,,0.0,0.0,,0.0,0.0,,0,0,,0,0,BetEsporte,28.0,11.0,1.02,BetEsporte,14.0,7.2,1.11,BetEsporte,5.8,4.4,1.39,BetEsporte,1.49,4.1,4.8,BetEsporte,1.15,6.6,11.0,BetEsporte,1.03,10.0,24.0,,,,,,,,,,,0.53,0.47,0.73,0.69,,,,,,,,,36.0,17.0,9.0,5.0,17.0,9.0,10.0,3.0,,,,,,,,,,,9.0,3.0,,,46.0,24.0,19.0,22.0,2.0,6.0,0.0,1.0,2.0,4.0,4.0,8.0,,,,,,,,,,,,,,,,,,,0.47,0.53,9.0,6.0,4.0,1.0,3.0,4.0,,,3.0,1.0,0.0,2.0,9.0,9.0,2.0,0.0,1.0,4.0,,,,,,,0.57,0.43,13.0,4.0,2.0,1.0,8.0,2.0,,,3.0,0.0,0.0,2.0,,,6.0,8.0,0.0,4.0,0.0,1.0
4fYEPKnD,USA,2024,Nwsl Women 2024,WOM USA 1,17/11/2024,17:00,Play Offs,Orlando Pride W,Kansas City Current W,3,2,"[41, 53, 82]","[33, 90]",Betfair,2.88,2.0,3.6,Betfair,2.2,3.1,3.0,Betano.br,1.37,2.5,Betano.br,2.52,1.36,BetEsporte,6.4,1.06,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.75,1.95,Betano.br,1.37,1.27,1.6,Betfair,8.0,Betfair,9.0,Betfair,13.0,Betfair,31.0,Betfair,7.0,Betfair,5.5,Betfair,10.0,Betfair,21.0,Betfair,9.0,Betfair,8.0,Betfair,12.0,Betfair,29.0,Betfair,19.0,Betfair,15.0,Betfair,23.0,Betfair,61.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.9,1.72,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,BetEsporte,22.0,9.8,1.04,BetEsporte,10.0,6.2,1.18,BetEsporte,4.4,3.95,1.56,BetEsporte,1.34,4.5,6.4,BetEsporte,1.09,7.6,16.0,BetEsporte,1.01,11.0,30.0,,,,,,,,,,,0.48,0.52,0.77,0.75,,,,,,,,,15.0,14.0,5.0,4.0,8.0,5.0,2.0,5.0,,,,,,,,,,,3.0,5.0,,,22.0,33.0,10.0,10.0,3.0,2.0,,,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,0.45,0.55,5.0,2.0,2.0,1.0,1.0,0.0,,,3.0,2.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,1.0,,,,,,,0.5,0.5,10.0,12.0,3.0,3.0,7.0,5.0,,,0.0,3.0,2.0,2.0,,,4.0,7.0,0.0,0.0,2.0,1.0
8t0nnUjm,USA,2024,Nwsl Women 2024,WOM USA 1,10/11/2024,14:30,Play Offs,Washington Spirit W,Bay FC W,2,1,"[86, 96]",[82],Betfair,2.1,2.2,5.0,Betfair,1.55,3.7,5.0,,0.0,0.0,Betano.br,2.45,1.39,,0.0,0.0,Betfair,1.02,10.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,1.75,1.95,Betano.br,1.16,1.22,2.27,Betfair,10.0,Betfair,15.0,Betfair,23.0,Betfair,67.0,Betfair,6.5,Betfair,6.5,Betfair,15.0,Betfair,36.0,Betfair,6.5,Betfair,7.0,Betfair,13.0,Betfair,46.0,Betfair,11.0,Betfair,10.0,Betfair,19.0,Betfair,56.0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,1.91,1.7,Estrelabet,1.55,2.2,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,0.78,0.7,,,,,,,,,26.0,16.0,6.0,2.0,14.0,10.0,6.0,4.0,,,,,,,,,,,4.0,8.0,,,39.0,39.0,8.0,17.0,1.0,3.0,,,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,0.52,0.48,7.0,7.0,2.0,1.0,3.0,4.0,,,0.0,4.0,,,5.0,8.0,1.0,0.0,1.0,2.0,,,,,,,0.6,0.4,11.0,5.0,2.0,1.0,6.0,3.0,,,4.0,0.0,1.0,2.0,,,2.0,6.0,0.0,0.0,0.0,1.0
raWTTnyJ,USA,2024,Nwsl Women 2024,WOM USA 1,09/11/2024,14:00,Play Offs,Kansas City Current W,North Carolina Courage W,1,0,[8],[],Betfair,2.3,2.2,4.5,Betfair,1.65,3.5,4.2,,0.0,0.0,Betano.br,2.45,1.38,,0.0,0.0,Betfair,1.02,10.0,Betfair,1.2,4.0,Betfair,1.8,1.91,Betfair,3.0,1.33,,0.0,0.0,Betfair,1.7,2.0,Betano.br,1.21,1.23,2.02,Betfair,10.0,Betfair,13.0,Betfair,19.0,Betfair,61.0,Betfair,6.5,Betfair,6.0,Betfair,13.0,Betfair,31.0,Betfair,7.5,Betfair,7.0,Betfair,12.0,Betfair,36.0,Betfair,13.0,Betfair,11.0,Betfair,19.0,Betfair,51.0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,1.88,1.72,Betano.br,1.72,1.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.35,0.65,0.71,0.85,,,,,,,,,17.0,15.0,5.0,4.0,9.0,8.0,3.0,3.0,,,,,,,,,,,2.0,2.0,,,21.0,28.0,6.0,8.0,2.0,2.0,,,4.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,0.4,0.6,15.0,8.0,5.0,1.0,7.0,5.0,,,1.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,4.0,,,,,,,0.29,0.71,2.0,7.0,0.0,3.0,2.0,3.0,,,1.0,0.0,1.0,1.0,,,2.0,6.0,3.0,0.0,3.0,0.0
2czs0xXI,USA,2024,Nwsl Women 2024,WOM USA 1,03/11/2024,19:30,-,San Diego Wave W,Racing Louisville W,3,1,"[3, 22, 76]",[68],Betfair,2.7,2.0,4.0,Betfair,2.0,3.3,3.2,Betano.br,1.38,2.47,,0.0,0.0,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.75,1.95,Betano.br,1.29,1.27,1.72,Betfair,8.0,Betfair,9.5,Betfair,15.0,Betfair,41.0,Betfair,6.5,Betfair,5.5,Betfair,11.0,Betfair,23.0,Betfair,8.5,Betfair,8.0,Betfair,12.0,Betfair,31.0,Betfair,15.0,Betfair,13.0,Betfair,23.0,Betfair,56.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,1.9,1.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.59,0.41,0.83,0.8,,,,,,,,,17.0,18.0,8.0,4.0,6.0,11.0,3.0,3.0,,,,,,,,,,,8.0,2.0,,,26.0,16.0,7.0,9.0,1.0,2.0,,,2.0,1.0,3.0,5.0,,,,,,,,,,,,,,,,,,,0.59,0.41,7.0,6.0,5.0,1.0,2.0,5.0,,,5.0,1.0,,,5.0,4.0,2.0,0.0,1.0,3.0,,,,,,,0.59,0.41,10.0,12.0,3.0,3.0,4.0,6.0,,,3.0,1.0,1.0,2.0,,,2.0,5.0,0.0,1.0,2.0,2.0
tfbfp8La,USA,2024,Nwsl Women 2024,WOM USA 1,08/11/2024,22:00,Play Offs,Orlando Pride W,Chicago W,4,1,"[26, 39, 45, 56]",[60],Betfair,1.73,2.4,8.0,Betfair,1.25,5.0,9.0,,0.0,0.0,Betano.br,2.1,1.53,,0.0,0.0,Betfair,1.01,13.0,Betfair,1.17,4.5,Betfair,1.6,2.2,Betfair,2.75,1.4,Betfair,5.2,1.13,Betfair,1.95,1.75,Betano.br,1.08,1.14,3.35,Betfair,13.0,Betfair,21.0,Betfair,51.0,Betfair,67.0,Betfair,6.5,Betfair,8.5,Betfair,23.0,Betfair,67.0,Betfair,5.5,Betfair,7.0,Betfair,17.0,Betfair,67.0,Betfair,7.5,Betfair,9.0,Betfair,21.0,Betfair,67.0,,0,0,,0.0,0.0,Betano.br,1.78,1.82,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,0.83,0.82,,,,,,,,,30.0,7.0,9.0,4.0,10.0,1.0,11.0,2.0,,,,,,,,,,,8.0,6.0,,,22.0,16.0,6.0,8.0,2.0,0.0,,,2.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,0.47,0.53,17.0,0.0,3.0,0.0,9.0,0.0,,,4.0,1.0,,,2.0,4.0,1.0,1.0,0.0,0.0,,,,,,,0.55,0.45,13.0,7.0,6.0,4.0,1.0,1.0,,,4.0,5.0,2.0,0.0,,,4.0,4.0,1.0,2.0,3.0,5.0
O6yw1IHC,USA,2024,Nwsl Women 2024,WOM USA 1,03/11/2024,17:00,-,Chicago W,Kansas City Current W,1,3,[52],"[23, 26, 33]",Betfair,5.5,2.3,2.0,Betfair,5.5,4.2,1.44,,0.0,0.0,Betano.br,2.27,1.45,,0.0,0.0,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.75,1.4,Betfair,5.5,1.13,Betfair,1.73,2.0,Betano.br,2.7,1.2,1.1,Betfair,12.0,Betfair,6.5,Betfair,7.0,Betfair,11.0,Betfair,15.0,Betfair,7.0,Betfair,7.0,Betfair,9.5,Betfair,26.0,Betfair,15.0,Betfair,13.0,Betfair,17.0,Betfair,67.0,Betfair,41.0,Betfair,46.0,Betfair,56.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.78,1.83,Estrelabet,1.55,2.2,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,0.84,0.82,,,,,,,,,20.0,19.0,4.0,6.0,10.0,8.0,6.0,5.0,,,,,,,,,,,5.0,6.0,,,22.0,17.0,7.0,7.0,0.0,1.0,,,0.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.61,0.39,3.0,14.0,0.0,6.0,1.0,5.0,,,2.0,3.0,,,1.0,4.0,0.0,1.0,3.0,0.0,,,,,,,0.49,0.51,17.0,5.0,4.0,0.0,9.0,3.0,,,3.0,3.0,0.0,1.0,,,6.0,3.0,0.0,0.0,0.0,3.0
UqxZ1b26,USA,2024,Nwsl Women 2024,WOM USA 1,02/11/2024,22:30,-,Houston Dash W,Bay FC W,2,3,"[14, 46]","[10, 21, 54]",Betfair,3.75,2.0,2.88,Betfair,3.1,3.1,2.1,Betano.br,1.37,2.5,,0.0,0.0,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,2.1,1.65,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.75,1.95,Betano.br,2.05,1.25,1.19,Betfair,8.0,Betfair,7.0,Betfair,9.0,Betfair,17.0,Betfair,8.5,Betfair,5.5,Betfair,8.0,Betfair,15.0,Betfair,13.0,Betfair,10.0,Betfair,12.0,Betfair,23.0,Betfair,36.0,Betfair,21.0,Betfair,34.0,Betfair,56.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.88,1.72,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.5,0.5,0.77,0.8,,,,,,,,,12.0,20.0,5.0,7.0,4.0,8.0,3.0,5.0,,,,,,,,,,,3.0,7.0,,,21.0,19.0,11.0,17.0,2.0,1.0,,,4.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,0.44,0.56,7.0,7.0,4.0,4.0,2.0,0.0,,,2.0,5.0,2.0,0.0,8.0,6.0,3.0,1.0,2.0,3.0,,,,,,,0.55,0.45,5.0,13.0,1.0,3.0,2.0,8.0,,,1.0,2.0,0.0,1.0,,,3.0,11.0,1.0,2.0,2.0,0.0
