Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
UB8AQppq,USA,2022,Usl Championship 2022,USA 2,05/11/2022,20:30,Play Offs,Louisville City,Tampa Bay,1,0,[108],[],Betfair,2.6,2.2,3.75,Betfair,2.0,3.5,3.0,Betano.br,1.36,2.9,Betano.br,2.52,1.47,Betano.br,5.4,1.12,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.57,2.25,Betfair,1.3,1.22,1.67,Betfair,10.0,Betfair,10.0,Betfair,15.0,Betfair,31.0,Betfair,7.0,Betfair,5.5,Betfair,9.0,Betfair,21.0,Betfair,9.0,Betfair,7.0,Betfair,9.5,Betfair,23.0,Betfair,15.0,Betfair,12.0,Betfair,17.0,Betfair,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,16.5,9.5,1.08,Betano.br,8.25,5.7,1.26,Betano.br,3.8,3.85,1.75,Betano.br,1.34,5.0,7.0,Betano.br,1.1,8.25,15.5,,0.0,0.0,0.0,,,,,,,,,,,0.46,0.54,0.74,0.79,,,,,,,,,11.0,12.0,3.0,3.0,4.0,5.0,4.0,4.0,,,,,,,,,,,8.0,4.0,23.0,17.0,28.0,34.0,14.0,12.0,2.0,3.0,1.0,0.0,1.0,10.0,3.0,2.0,,,,,,,,,,,,,,,,,,,0.53,0.47,7.0,2.0,1.0,1.0,3.0,1.0,,,3.0,1.0,,,8.0,4.0,0.0,5.0,1.0,1.0,,,,,,,0.47,0.53,2.0,6.0,1.0,2.0,1.0,2.0,,,2.0,2.0,1.0,2.0,1.0,0.0,5.0,7.0,1.0,4.0,2.0,1.0
Cf6PNYXC,USA,2022,Usl Championship 2022,USA 2,29/10/2022,21:00,Play Offs,Colorado Springs,Sacramento Republic,2,1,"[37, 96]",[18],Betano.br,3.0,2.15,3.25,Betano.br,2.4,3.4,2.7,Betano.br,1.37,2.85,Betano.br,2.57,1.45,Betano.br,5.5,1.11,Betano.br,1.05,7.9,Betano.br,1.25,3.6,Betano.br,1.75,1.98,Betano.br,2.75,1.39,Betano.br,4.7,1.15,Betfair,1.6,2.2,Betano.br,1.47,1.29,1.57,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,21.0,10.75,1.05,Betano.br,10.5,6.6,1.19,Betano.br,4.75,4.15,1.57,Betano.br,1.47,4.4,5.6,Betano.br,1.15,7.2,12.5,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,0.78,0.74,,,,,,,,,15.0,11.0,7.0,3.0,5.0,6.0,3.0,2.0,,,,,,,,,,,7.0,5.0,14.0,18.0,32.0,31.0,13.0,11.0,3.0,5.0,,,5.0,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,0.5,0.5,9.0,1.0,4.0,1.0,3.0,0.0,,,4.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,0.0,3.0,,,,,,,0.68,0.32,4.0,4.0,2.0,2.0,1.0,2.0,,,3.0,2.0,0.0,2.0,,,5.0,3.0,1.0,2.0,2.0,2.0
827EP4ak,USA,2022,Usl Championship 2022,USA 2,06/11/2022,22:30,Play Offs,San Antonio,Colorado Springs,2,0,"[23, 90]",[],Betfair,2.1,2.25,5.0,Betfair,1.57,3.6,4.75,Betano.br,1.36,2.92,Betano.br,2.55,1.45,Betano.br,5.4,1.12,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.67,2.05,Betfair,1.13,1.22,2.2,Betfair,10.0,Betfair,13.0,Betfair,23.0,Betfair,61.0,Betfair,6.5,Betfair,6.0,Betfair,13.0,Betfair,31.0,Betfair,7.0,Betfair,6.0,Betfair,11.0,Betfair,34.0,Betfair,10.0,Betfair,10.0,Betfair,15.0,Betfair,46.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,12.0,7.8,1.14,Betano.br,5.8,4.9,1.4,Betano.br,2.92,3.7,2.1,Betano.br,1.23,5.8,9.75,Betano.br,1.06,9.75,21.0,,0.0,0.0,0.0,,,,,,,,,,,0.3,0.7,0.51,0.76,,,,,,,,,14.0,12.0,3.0,2.0,7.0,8.0,4.0,2.0,,,,,,,,,,,1.0,7.0,17.0,17.0,15.0,37.0,15.0,17.0,3.0,6.0,,,2.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.32,0.68,6.0,4.0,1.0,1.0,4.0,2.0,,,0.0,4.0,0.0,1.0,7.0,6.0,2.0,0.0,1.0,0.0,,,,,,,0.28,0.72,8.0,8.0,2.0,1.0,3.0,6.0,,,1.0,3.0,3.0,5.0,,,8.0,11.0,0.0,0.0,1.0,1.0
QZFHDJA5,USA,2022,Usl Championship 2022,USA 2,13/11/2022,22:30,Play Offs,San Antonio,Louisville City,3,1,"[45, 64, 70]",[78],Betfair,3.0,2.0,3.5,Betfair,2.3,2.9,2.8,Betano.br,1.5,2.42,Betano.br,3.1,1.32,Betano.br,6.8,1.07,Betfair,1.05,8.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,3.8,1.22,Betfair,8.0,1.05,Betfair,1.8,1.87,Betfair,1.33,1.3,1.5,Betfair,7.0,Betfair,7.0,Betfair,12.0,Betfair,26.0,Betfair,6.5,Betfair,5.0,Betfair,9.0,Betfair,19.0,Betfair,9.5,Betfair,7.5,Betfair,11.0,Betfair,26.0,Betfair,19.0,Betfair,15.0,Betfair,23.0,Betfair,56.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,22.0,10.5,1.05,Betano.br,10.5,6.3,1.2,Betano.br,4.6,3.85,1.62,Betano.br,1.36,4.5,7.4,Betano.br,1.1,8.25,17.5,,0.0,0.0,0.0,,,,,,,,,,,0.35,0.65,0.39,0.66,,,,,,,,,13.0,7.0,5.0,5.0,4.0,0.0,4.0,2.0,,,,,,,,,,,5.0,4.0,12.0,19.0,29.0,36.0,16.0,14.0,2.0,3.0,,,3.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,0.4,0.6,7.0,1.0,2.0,0.0,2.0,0.0,,,3.0,2.0,0.0,1.0,8.0,8.0,1.0,0.0,0.0,1.0,,,,,,,0.3,0.7,6.0,6.0,3.0,5.0,2.0,0.0,,,2.0,2.0,2.0,2.0,,,8.0,6.0,2.0,1.0,4.0,1.0
KtwiwaF9,USA,2022,Usl Championship 2022,USA 2,30/10/2022,17:00,Play Offs,Memphis,Tampa Bay,0,1,[],[90],,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betfair,1.5,2.4,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.59,0.41,0.8,0.72,,,,,,,,,13.0,7.0,2.0,1.0,8.0,4.0,3.0,2.0,,,,,,,,,,,5.0,4.0,15.0,9.0,21.0,26.0,10.0,15.0,3.0,5.0,,,4.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,0.64,0.36,6.0,2.0,0.0,0.0,5.0,2.0,,,1.0,3.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,,,,,,,0.54,0.46,7.0,5.0,2.0,1.0,3.0,2.0,,,4.0,1.0,3.0,4.0,,,8.0,11.0,2.0,0.0,0.0,2.0
QcATMhmJ,USA,2022,Usl Championship 2022,USA 2,29/10/2022,20:30,Play Offs,Louisville City,Pittsburgh,2,2,"[83, 85]","[14, 47]",Betfair,1.91,2.3,5.5,Betfair,1.44,4.2,6.0,Betano.br,1.37,2.85,Betano.br,2.6,1.44,Betano.br,5.6,1.11,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.85,1.85,Betfair,1.08,1.17,2.5,Betfair,10.0,Betfair,15.0,Betfair,26.0,Betfair,81.0,Betfair,6.0,Betfair,6.5,Betfair,15.0,Betfair,41.0,Betfair,6.0,Betfair,6.0,Betfair,13.0,Betfair,51.0,Betfair,8.5,Betfair,9.5,Betfair,19.0,Betfair,56.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,10.0,6.9,1.18,Betano.br,4.8,4.5,1.52,Betano.br,2.5,3.55,2.45,Betano.br,1.16,6.6,13.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.66,0.34,0.82,0.63,,,,,,,,,18.0,12.0,7.0,6.0,7.0,4.0,4.0,2.0,,,,,,,,,,,14.0,2.0,28.0,19.0,30.0,16.0,17.0,21.0,3.0,5.0,,,2.0,8.0,4.0,5.0,,,,,,,,,,,,,,,,,,,0.59,0.41,7.0,5.0,3.0,3.0,2.0,2.0,,,5.0,0.0,0.0,1.0,7.0,6.0,2.0,1.0,2.0,3.0,,,,,,,0.71,0.29,3.0,2.0,2.0,1.0,1.0,0.0,,,8.0,0.0,2.0,3.0,,,5.0,13.0,0.0,5.0,0.0,0.0
lAvvOnlr,USA,2022,Usl Championship 2022,USA 2,23/10/2022,19:00,Play Offs,Birmingham,Pittsburgh,2,2,"[72, 99]","[90, 116]",Betfair,2.4,2.2,4.2,Betfair,1.87,3.3,3.7,Betano.br,1.39,2.75,Betano.br,2.65,1.42,Betano.br,5.7,1.1,Betfair,1.02,10.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,5.5,1.11,Betfair,1.67,2.15,Betfair,1.22,1.25,1.8,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,17.0,9.5,1.08,Betano.br,8.25,5.8,1.25,Betano.br,3.9,3.85,1.75,Betano.br,1.33,4.85,7.5,Betano.br,1.09,8.5,17.0,,0.0,0.0,0.0,,,,,,,,,,,0.48,0.52,0.8,0.77,,,,,,,,,22.0,7.0,9.0,4.0,7.0,2.0,6.0,1.0,,,,,,,,,,,5.0,2.0,11.0,13.0,33.0,37.0,13.0,11.0,1.0,2.0,,,0.0,0.0,2.0,7.0,,,,,,,,,,,,,,,,,,,0.53,0.47,8.0,1.0,4.0,1.0,1.0,0.0,,,1.0,1.0,,,8.0,6.0,0.0,0.0,1.0,4.0,,,,,,,0.39,0.61,10.0,5.0,3.0,2.0,5.0,2.0,,,3.0,1.0,0.0,1.0,,,1.0,3.0,0.0,0.0,1.0,2.0
v1bBoxQJ,USA,2022,Usl Championship 2022,USA 2,28/10/2022,21:30,Play Offs,San Antonio,Oakland Roots,3,0,"[2, 75, 90]",[],Betfair,2.1,2.25,5.0,Betfair,1.57,3.9,4.75,Betano.br,1.4,2.75,Betano.br,2.67,1.42,Betano.br,5.8,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.75,1.95,Betfair,1.13,1.2,2.2,Betfair,10.0,Betfair,12.0,Betfair,23.0,Betfair,61.0,Betfair,6.0,Betfair,6.0,Betfair,13.0,Betfair,34.0,Betfair,6.5,Betfair,6.5,Betfair,12.0,Betfair,36.0,Betfair,10.0,Betfair,10.0,Betfair,18.0,Betfair,51.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,10.5,7.1,1.17,Betano.br,5.0,4.55,1.5,Betano.br,2.6,3.55,2.37,Betano.br,1.16,6.4,13.5,Betano.br,1.05,10.5,23.0,,0.0,0.0,0.0,,,,,,,,,,,0.3,0.7,0.51,0.79,,,,,,,,,12.0,16.0,4.0,3.0,6.0,6.0,2.0,7.0,,,,,,,,,,,3.0,9.0,10.0,1.0,18.0,25.0,14.0,10.0,2.0,4.0,,,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.31,0.69,5.0,8.0,1.0,1.0,3.0,3.0,,,1.0,4.0,1.0,0.0,8.0,3.0,1.0,1.0,1.0,0.0,,,,,,,0.29,0.71,7.0,8.0,3.0,2.0,3.0,3.0,,,2.0,5.0,1.0,4.0,,,6.0,7.0,1.0,0.0,2.0,1.0
f9M5te49,USA,2022,Usl Championship 2022,USA 2,23/10/2022,23:00,Play Offs,San Diego Loyal,Oakland Roots,0,3,[],"[36, 52, 90]",Betfair,2.2,2.4,4.33,Betfair,1.67,3.75,4.1,Betano.br,1.33,3.05,Betano.br,2.37,1.52,Betano.br,5.0,1.14,Betfair,1.01,13.0,Betfair,1.11,5.5,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.5,2.4,Betfair,1.17,1.2,2.0,Betfair,13.0,Betfair,14.0,Betfair,21.0,Betfair,41.0,Betfair,8.0,Betfair,6.5,Betfair,11.0,Betfair,23.0,Betfair,8.0,Betfair,6.5,Betfair,9.5,Betfair,23.0,Betfair,12.0,Betfair,9.5,Betfair,13.0,Betfair,31.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,11.75,7.9,1.14,Betano.br,5.8,5.0,1.39,Betano.br,2.95,3.75,2.05,Betano.br,1.24,5.7,9.25,Betano.br,1.07,9.75,19.5,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,0.83,0.82,,,,,,,,,15.0,9.0,5.0,6.0,9.0,2.0,1.0,1.0,,,,,,,,,,,5.0,0.0,19.0,14.0,18.0,18.0,13.0,17.0,7.0,5.0,3.0,0.0,1.0,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,0.49,0.51,8.0,2.0,4.0,1.0,3.0,1.0,,,2.0,0.0,2.0,1.0,7.0,10.0,0.0,0.0,0.0,4.0,,,,,,,0.63,0.37,7.0,7.0,1.0,5.0,6.0,1.0,,,3.0,0.0,5.0,4.0,3.0,0.0,6.0,7.0,1.0,2.0,3.0,1.0
YaL9uFJF,USA,2022,Usl Championship 2022,USA 2,22/10/2022,23:00,Play Offs,Sacramento Republic,New Mexico,2,0,"[47, 74]",[],Betfair,2.4,2.0,4.5,Betfair,1.75,3.4,4.0,Betano.br,1.47,2.52,Betano.br,3.05,1.33,Betano.br,6.7,1.07,Betfair,1.05,8.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,3.8,1.22,Betfair,8.0,1.05,Betfair,1.91,1.8,Betfair,1.17,1.25,1.91,Betfair,7.0,Betfair,9.5,Betfair,18.0,Betfair,51.0,Betfair,5.5,Betfair,5.5,Betfair,12.0,Betfair,34.0,Betfair,7.0,Betfair,7.0,Betfair,12.0,Betfair,41.0,Betfair,11.0,Betfair,12.0,Betfair,23.0,Betfair,71.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,14.0,8.0,1.12,Betano.br,6.5,4.85,1.37,Betano.br,3.05,3.45,2.1,Betano.br,1.21,5.8,11.25,Betano.br,1.05,10.25,25.0,,0.0,0.0,0.0,,,,,,,,,,,0.47,0.53,0.75,0.75,,,,,,,,,14.0,16.0,5.0,1.0,5.0,9.0,4.0,6.0,,,,,,,,,,,10.0,2.0,13.0,13.0,13.0,23.0,11.0,14.0,1.0,2.0,,,6.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.57,0.43,6.0,10.0,1.0,1.0,3.0,5.0,,,3.0,2.0,1.0,2.0,7.0,8.0,1.0,0.0,1.0,1.0,,,,,,,0.37,0.63,8.0,6.0,4.0,0.0,2.0,4.0,,,7.0,0.0,,,,,4.0,6.0,5.0,1.0,0.0,2.0
nqJcrHZd,USA,2022,Usl Championship 2022,USA 2,22/10/2022,21:30,Play Offs,Colorado Springs,Rio Grande,3,0,"[84, 90, 90]",[],Betfair,2.8,2.1,3.5,Betfair,2.15,3.3,2.75,Betano.br,1.37,2.85,Betano.br,2.57,1.45,Betano.br,5.5,1.11,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.53,2.3,Betfair,1.36,1.25,1.57,Betfair,9.5,Betfair,9.5,Betfair,14.0,Betfair,26.0,Betfair,8.0,Betfair,5.5,Betfair,8.5,Betfair,18.0,Betfair,9.5,Betfair,7.0,Betfair,9.5,Betfair,23.0,Betfair,17.0,Betfair,13.0,Betfair,18.0,Betfair,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,19.5,10.5,1.06,Betano.br,9.75,6.4,1.2,Betano.br,4.55,4.1,1.6,Betano.br,1.44,4.5,5.9,Betano.br,1.14,7.4,13.0,,0.0,0.0,0.0,,,,,,,,,,,0.44,0.56,0.83,0.85,,,,,,,,,11.0,5.0,6.0,1.0,3.0,3.0,2.0,1.0,,,,,,,,,,,6.0,1.0,18.0,11.0,23.0,23.0,9.0,13.0,1.0,1.0,,,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.46,0.54,4.0,4.0,1.0,0.0,1.0,3.0,,,4.0,0.0,1.0,1.0,5.0,8.0,1.0,0.0,0.0,1.0,,,,,,,0.42,0.58,7.0,1.0,5.0,1.0,2.0,0.0,,,2.0,1.0,,,,,4.0,5.0,0.0,0.0,1.0,2.0
