Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
4vpBE8h7,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,25/11/2023,18:00,Super final,Dep. Tachira,Caracas,1,1,[84],[90],Betfair,2.63,1.91,4.5,Betfair,1.91,3.0,3.9,Betano.br,1.57,2.12,,0.0,0.0,,0.0,0.0,Betfair,1.1,6.5,Betfair,1.47,2.63,Betfair,2.55,1.5,Betfair,5.0,1.17,Betfair,10.0,1.05,Betfair,2.05,1.73,Betano.br,1.23,1.34,1.72,Betfair,6.0,Betfair,8.0,Betfair,15.0,Betfair,51.0,Betfair,5.0,Betfair,5.0,Betfair,11.0,Betfair,36.0,Betfair,7.0,Betfair,7.5,Betfair,14.0,Betfair,46.0,Betfair,14.0,Betfair,15.0,Betfair,26.0,Betfair,91.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,2.0,1.72,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,4.2,3.4,1.72,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,6.0,3.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,2.0,2.0,,,,,,,5.0,8.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.5,0.5,3.0,1.0,1.0,0.0,2.0,1.0,,,1.0,1.0,2.0,4.0,,,,,0.0,1.0,,,,,,,0.56,0.44,3.0,2.0,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,0.0,0.0
Ojifdnw9,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,12/11/2023,18:00,Final Group,Dep. Tachira,Caracas,1,1,[37],[44],Betfair,2.8,1.91,4.2,Betfair,2.0,2.9,3.5,Betano.br,1.55,2.15,,0.0,0.0,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.0,1.7,Betano.br,1.27,1.34,1.65,Betfair,6.0,Betfair,7.5,Betfair,14.0,Betfair,36.0,Betfair,5.0,Betfair,5.0,Betfair,10.0,Betfair,26.0,Betfair,7.5,Betfair,7.5,Betfair,13.0,Betfair,46.0,Betfair,15.0,Betfair,15.0,Betfair,31.0,Betfair,91.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,4.5,3.55,1.65,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,8.0,6.0,3.0,2.0,5.0,4.0,,,,,,,,,,,,,1.0,3.0,,,,,,,1.0,3.0,0.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.44,0.56,4.0,5.0,2.0,2.0,2.0,3.0,,,0.0,3.0,,,,,,,1.0,1.0,,,,,,,0.52,0.48,4.0,1.0,1.0,0.0,3.0,1.0,,,1.0,0.0,1.0,3.0,0.0,1.0,,,,,0.0,1.0
6Ftae6hF,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,12/11/2023,18:00,Final Group,Puerto Cabello,Portuguesa,1,1,[45],[70],Betfair,2.7,1.91,4.33,Betfair,2.0,3.2,3.3,Betano.br,1.44,2.4,,0.0,0.0,,0.0,0.0,Betfair,1.06,7.5,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,1.95,1.73,Betano.br,1.26,1.28,1.78,Betfair,6.5,Betfair,8.0,Betfair,14.0,Betfair,36.0,Betfair,5.5,Betfair,5.0,Betfair,10.0,Betfair,26.0,Betfair,7.5,Betfair,7.0,Betfair,13.0,Betfair,41.0,Betfair,15.0,Betfair,15.0,Betfair,26.0,Betfair,81.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,1.93,1.78,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,3.75,3.6,1.78,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,0.38,0.62,,,,,,,,,,,12.0,7.0,6.0,4.0,6.0,3.0,,,,,,,,,,,,,9.0,3.0,,,,,,,1.0,2.0,1.0,0.0,,,3.0,5.0,,,,,,,,,,,,,,,,,,,0.38,0.62,5.0,4.0,2.0,3.0,3.0,1.0,,,7.0,2.0,0.0,1.0,,,,,3.0,1.0,,,,,,,0.38,0.62,7.0,3.0,4.0,1.0,3.0,2.0,,,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,4.0
Q5YjcSN2,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,08/11/2023,19:45,Final Group,Caracas,Puerto Cabello,1,0,[68],[],Betfair,2.88,1.91,3.75,Betfair,2.2,3.0,3.0,Betano.br,1.5,2.27,,0.0,0.0,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.85,1.85,Betano.br,1.28,1.33,1.65,Betfair,6.5,Betfair,7.5,Betfair,12.0,Betfair,26.0,Betfair,6.0,Betfair,5.0,Betfair,9.0,Betfair,23.0,Betfair,8.5,Betfair,7.5,Betfair,12.0,Betfair,34.0,Betfair,18.0,Betfair,17.0,Betfair,26.0,Betfair,71.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,4.4,3.6,1.65,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,10.0,11.0,2.0,2.0,8.0,9.0,,,,,,,,,,,,,4.0,2.0,,,,,,,4.0,3.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,0.46,0.54,2.0,7.0,0.0,2.0,2.0,5.0,,,4.0,1.0,0.0,1.0,,,,,2.0,0.0,,,,,,,0.4,0.6,8.0,4.0,2.0,0.0,6.0,4.0,,,0.0,1.0,4.0,2.0,,,,,,,0.0,1.0
C2p9Yro2,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,08/11/2023,19:45,Final Group,Portuguesa,Dep. Tachira,1,1,[32],[8],Betfair,4.0,1.91,2.88,Betfair,3.3,2.9,2.15,Betano.br,1.53,2.18,,0.0,0.0,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.4,2.75,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.0,1.73,Betano.br,1.57,1.34,1.31,Betfair,6.0,Betfair,5.5,Betfair,8.0,Betfair,17.0,Betfair,7.0,Betfair,5.0,Betfair,7.5,Betfair,15.0,Betfair,12.0,Betfair,10.0,Betfair,13.0,Betfair,31.0,Betfair,34.0,Betfair,26.0,Betfair,41.0,Betfair,81.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,1.57,3.7,4.9,,0,0,0,,0,0,0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,7.0,6.0,2.0,3.0,5.0,3.0,,,,,,,,,,,,,4.0,3.0,,,,,,,3.0,2.0,1.0,0.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,0.56,0.44,5.0,3.0,2.0,1.0,3.0,2.0,,,3.0,1.0,1.0,0.0,,,,,0.0,1.0,,,,,,,0.56,0.44,2.0,3.0,0.0,2.0,2.0,1.0,,,1.0,2.0,2.0,2.0,1.0,0.0,,,,,2.0,0.0
YBo5ZOVe,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,04/11/2023,20:30,Final Group,Dep. Tachira,Puerto Cabello,2,1,"[45, 85]",[45],Betfair,2.5,1.83,5.5,Betfair,1.8,3.0,4.6,Betano.br,1.62,2.05,,0.0,0.0,,0.0,0.0,Betfair,1.08,6.5,Betfair,1.5,2.4,Betfair,2.75,1.4,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.25,1.57,Betano.br,1.18,1.34,1.87,Betfair,5.5,Betfair,8.5,Betfair,19.0,Betfair,71.0,Betfair,4.5,Betfair,5.5,Betfair,14.0,Betfair,51.0,Betfair,6.5,Betfair,7.5,Betfair,17.0,Betfair,76.0,Betfair,12.0,Betfair,15.0,Betfair,36.0,Betfair,126.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,1.85,1.85,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,3.75,3.25,1.87,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,0.63,0.37,,,,,,,,,,,19.0,4.0,4.0,1.0,15.0,3.0,,,,,,,,,,,,,9.0,1.0,,,,,,,1.0,2.0,0.0,1.0,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.73,0.27,6.0,3.0,2.0,1.0,4.0,2.0,,,5.0,1.0,0.0,1.0,,,,,0.0,1.0,,,,,,,0.54,0.46,13.0,1.0,2.0,0.0,11.0,1.0,,,4.0,0.0,1.0,1.0,,,,,,,0.0,1.0
Gzi0z5Gk,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,04/11/2023,18:00,Final Group,Portuguesa,Caracas,3,1,"[55, 65, 76]",[36],Betfair,3.4,1.91,3.4,Betfair,2.63,2.9,2.6,Betano.br,1.55,2.15,,0.0,0.0,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.4,2.75,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,9.0,1.03,Betfair,1.95,1.75,Betano.br,1.53,1.37,1.31,Betfair,6.0,Betfair,6.5,Betfair,10.0,Betfair,23.0,Betfair,6.0,Betfair,5.0,Betfair,8.5,Betfair,20.0,Betfair,10.0,Betfair,8.5,Betfair,12.0,Betfair,31.0,Betfair,23.0,Betfair,21.0,Betfair,36.0,Betfair,81.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,1.53,3.65,5.4,,0,0,0,,0,0,0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,6.0,9.0,4.0,3.0,2.0,6.0,,,,,,,,,,,,,1.0,9.0,,,,,,,6.0,3.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,0.58,0.42,2.0,5.0,0.0,2.0,2.0,3.0,,,1.0,4.0,2.0,1.0,,,,,1.0,0.0,,,,,,,0.44,0.56,4.0,4.0,4.0,1.0,0.0,3.0,,,0.0,5.0,4.0,2.0,,,,,,,1.0,1.0
xphdyo1q,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,29/10/2023,20:30,Final Group,Puerto Cabello,Dep. Tachira,0,1,[],[37],Betfair,3.1,1.91,3.75,Betfair,2.3,2.8,3.0,Betfair,1.07,7.0,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,1.07,7.0,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,9.0,1.02,Betfair,2.0,1.7,Betfair,2.3,2.8,3.0,Betfair,5.5,Betfair,7.0,Betfair,11.0,Betfair,34.0,Betfair,5.5,Betfair,5.0,Betfair,9.5,Betfair,23.0,Betfair,8.5,Betfair,8.0,Betfair,13.0,Betfair,41.0,Betfair,20.0,Betfair,19.0,Betfair,31.0,Betfair,81.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,11.0,5.0,3.0,4.0,8.0,1.0,,,,,,,,,,,,,5.0,5.0,,,,,,,5.0,4.0,0.0,1.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,0.32,0.68,3.0,5.0,1.0,4.0,2.0,1.0,,,3.0,4.0,1.0,1.0,,,,,3.0,1.0,,,,,,,0.62,0.38,8.0,0.0,2.0,0.0,6.0,0.0,,,2.0,1.0,4.0,3.0,0.0,1.0,,,,,0.0,2.0
plUShDWG,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,29/10/2023,18:00,Final Group,Caracas,Portuguesa,2,0,"[31, 68]",[],Betfair,2.5,2.0,4.5,Betfair,1.8,3.1,4.0,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.95,1.73,Betfair,1.8,3.1,4.0,Betfair,6.5,Betfair,8.5,Betfair,17.0,Betfair,46.0,Betfair,5.5,Betfair,5.5,Betfair,11.0,Betfair,26.0,Betfair,7.0,Betfair,7.0,Betfair,13.0,Betfair,46.0,Betfair,13.0,Betfair,13.0,Betfair,26.0,Betfair,71.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,13.0,5.0,5.0,1.0,8.0,4.0,,,,,,,,,,,,,3.0,5.0,,,,,,,4.0,6.0,0.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,0.6,0.4,8.0,2.0,4.0,0.0,4.0,2.0,,,2.0,4.0,0.0,1.0,,,,,0.0,3.0,,,,,,,0.46,0.54,5.0,3.0,1.0,1.0,4.0,2.0,,,1.0,1.0,4.0,5.0,0.0,1.0,,,,,1.0,0.0
WpQOggHA,VENEZUELA,2023,Liga Futve 2023,VENEZUELA 1,25/10/2023,20:30,Final Group,Dep. Tachira,Portuguesa,3,0,"[15, 38, 62]",[],Betfair,2.1,2.0,6.0,Betfair,1.5,3.5,6.0,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,2.2,1.6,Betfair,1.5,3.5,6.0,Betfair,7.0,Betfair,11.0,Betfair,26.0,Betfair,91.0,Betfair,4.5,Betfair,6.0,Betfair,15.0,Betfair,61.0,Betfair,5.5,Betfair,6.5,Betfair,15.0,Betfair,76.0,Betfair,9.0,Betfair,11.0,Betfair,26.0,Betfair,126.0,,0,0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,10.0,7.0,7.0,2.0,3.0,5.0,,,,,,,,,,,,,3.0,2.0,,,,,,,3.0,4.0,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,0.66,0.34,6.0,3.0,4.0,1.0,2.0,2.0,,,3.0,0.0,3.0,3.0,,,,,1.0,2.0,,,,,,,0.34,0.66,4.0,4.0,3.0,1.0,1.0,3.0,,,0.0,2.0,0.0,1.0,,,,,,,1.0,2.0
