Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
tKikWGtn,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,18/05/2024,10:45,Conference League,Caernarfon,Penybont,3,1,"[20, 26, 37]",[90],Betfair,2.63,2.3,3.5,Betfair,2.05,3.5,2.8,Betano.br,1.32,3.15,Betano.br,2.37,1.55,Betano.br,4.9,1.14,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.4,1.5,Betano.br,3.95,1.21,Betfair,1.45,2.55,Betano.br,1.39,1.26,1.7,Betfair,12.0,Betfair,10.0,Betfair,15.0,Betfair,26.0,Betfair,9.0,Betfair,6.0,Betfair,9.0,Betfair,15.0,Betfair,10.0,Betfair,7.0,Betfair,9.0,Betfair,19.0,Betfair,17.0,Betfair,12.0,Betfair,14.0,Betfair,26.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.07,1.7,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,16.0,9.5,1.08,Betano.br,8.0,5.9,1.25,Betano.br,3.9,4.05,1.7,Betano.br,1.39,4.85,6.0,Betano.br,1.13,7.8,13.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,14.0,15.0,8.0,4.0,6.0,11.0,,,,,,,,,,,,,4.0,7.0,,,,,,,2.0,2.0,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,0.54,0.46,7.0,4.0,6.0,2.0,1.0,2.0,,,1.0,2.0,1.0,1.0,,,,,2.0,3.0,,,,,,,0.6,0.4,7.0,11.0,2.0,2.0,5.0,9.0,,,3.0,5.0,1.0,1.0,,,,,,,1.0,2.0
2BkH48Ls,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,11/05/2024,08:20,Conference League,Newtown,Penybont,0,5,[],"[6, 18, 33, 64, 74]",Betfair,3.0,2.0,3.6,Betfair,2.25,3.1,2.8,Betano.br,1.45,2.55,Betano.br,2.9,1.36,Betano.br,6.4,1.08,Betfair,1.05,8.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,3.8,1.22,Betfair,8.0,1.05,Betfair,1.8,1.87,Betano.br,1.39,1.32,1.6,Betfair,7.0,Betfair,7.5,Betfair,12.0,Betfair,26.0,Betfair,6.5,Betfair,5.0,Betfair,8.5,Betfair,21.0,Betfair,9.0,Betfair,7.5,Betfair,11.0,Betfair,26.0,Betfair,18.0,Betfair,15.0,Betfair,26.0,Betfair,56.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.27,1.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,21.0,10.75,1.05,Betano.br,10.75,6.4,1.19,Betano.br,4.75,3.95,1.6,Betano.br,1.39,4.5,6.8,Betano.br,1.11,7.9,16.0,,0.0,0.0,0.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,3.0,10.0,1.0,6.0,2.0,4.0,,,,,,,,,,,,,4.0,4.0,,,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.49,0.51,1.0,4.0,0.0,3.0,1.0,1.0,,,2.0,1.0,1.0,0.0,,,,,0.0,0.0,,,,,,,0.55,0.45,2.0,6.0,1.0,3.0,1.0,3.0,,,2.0,3.0,1.0,1.0,,,,,,,1.0,1.0
OQwQ2njf,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,10/05/2024,15:45,Conference League,Caernarfon,Cardiff Metropolitan,2,0,"[87, 90]",[],Betfair,2.75,2.25,3.3,Betfair,2.2,3.4,2.75,Betano.br,1.34,3.0,Betano.br,2.42,1.52,Betano.br,5.0,1.13,Betfair,1.01,11.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.5,2.4,Betano.br,1.39,1.29,1.65,Betfair,11.0,Betfair,10.0,Betfair,13.0,Betfair,23.0,Betfair,8.5,Betfair,6.0,Betfair,8.5,Betfair,15.0,Betfair,10.0,Betfair,7.5,Betfair,9.0,Betfair,19.0,Betfair,18.0,Betfair,13.0,Betfair,15.0,Betfair,26.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.2,1.62,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,18.0,10.25,1.07,Betano.br,9.0,6.2,1.22,Betano.br,4.3,4.05,1.65,Betano.br,1.39,4.7,6.3,Betano.br,1.12,7.9,14.0,,0.0,0.0,0.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,8.0,4.0,3.0,2.0,5.0,2.0,,,,,,,,,,,,,7.0,2.0,,,,,,,2.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,0.55,0.45,3.0,1.0,1.0,1.0,2.0,0.0,,,6.0,1.0,,,,,,,1.0,1.0,,,,,,,0.65,0.35,5.0,3.0,2.0,1.0,3.0,2.0,,,1.0,1.0,2.0,2.0,,,,,,,1.0,0.0
M9uPTAbh,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,21/04/2024,10:15,Championship Group,Caernarfon,Bala,2,2,"[34, 69]","[41, 54]",Betfair,3.0,2.3,2.88,Betfair,2.55,3.8,2.2,Betano.br,1.29,3.25,Betano.br,2.32,1.57,Betano.br,4.75,1.15,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.45,2.55,Betano.br,1.62,1.24,1.47,Betfair,12.0,Betfair,9.5,Betfair,12.0,Betfair,21.0,Betfair,10.0,Betfair,6.0,Betfair,7.5,Betfair,13.0,Betfair,13.0,Betfair,8.0,Betfair,8.5,Betfair,17.0,Betfair,21.0,Betfair,14.0,Betfair,15.0,Betfair,26.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.62,2.22,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,10.75,7.0,1.17,Betano.br,5.1,4.6,1.47,Betano.br,1.62,4.3,4.15,Betano.br,1.23,6.3,8.5,Betano.br,1.08,10.0,16.5,,,,,,,,,,,0.58,0.42,,,,,,,,,,,17.0,8.0,9.0,5.0,8.0,3.0,,,,,,,,,,,,,6.0,3.0,,,,,,,1.0,4.0,0.0,1.0,,,3.0,7.0,,,,,,,,,,,,,,,,,,,0.57,0.43,7.0,6.0,3.0,4.0,4.0,2.0,,,2.0,1.0,1.0,3.0,,,,,3.0,2.0,,,,,,,0.59,0.41,10.0,2.0,6.0,1.0,4.0,1.0,,,4.0,2.0,0.0,1.0,0.0,1.0,,,,,0.0,5.0
00vTSUDb,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,21/04/2024,10:15,Championship Group,Cardiff Metropolitan,Newtown,1,3,[70],"[15, 21, 52]",Betfair,3.75,2.3,2.38,Betfair,3.5,3.9,1.75,Betano.br,1.3,3.2,Betano.br,2.32,1.57,Betano.br,4.75,1.15,Betfair,1.01,13.0,Betfair,1.13,5.5,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.45,2.55,Betano.br,1.91,1.24,1.3,Betfair,13.0,Betfair,8.5,Betfair,9.0,Betfair,14.0,Betfair,13.0,Betfair,6.0,Betfair,7.0,Betfair,10.0,Betfair,18.0,Betfair,10.0,Betfair,9.0,Betfair,13.0,Betfair,36.0,Betfair,20.0,Betfair,21.0,Betfair,26.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.9,1.85,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,16.0,8.75,1.09,Betano.br,7.5,5.3,1.3,Betano.br,1.91,3.95,3.2,Betano.br,1.35,5.3,6.2,Betano.br,1.12,8.25,12.5,,,,,,,,,,,0.66,0.34,,,,,,,,,,,10.0,11.0,2.0,4.0,8.0,7.0,,,,,,,,,,,,,4.0,6.0,,,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.66,0.34,3.0,6.0,0.0,2.0,3.0,4.0,,,3.0,4.0,1.0,0.0,,,,,0.0,0.0,,,,,,,0.66,0.34,7.0,5.0,2.0,2.0,5.0,3.0,,,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0
fNwXRlT4,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,21/04/2024,10:15,Championship Group,TNS,Connahs Q.,2,0,"[89, 90]",[],Betfair,1.44,3.1,8.5,Betfair,1.12,7.5,13.0,Betano.br,1.19,4.15,Betano.br,1.87,1.87,Betano.br,3.5,1.26,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.25,3.6,Betfair,1.75,1.95,Betfair,2.88,1.36,Betfair,1.73,2.0,Betano.br,1.05,1.09,4.8,Betfair,31.0,Betfair,46.0,Betfair,81.0,Betfair,201.0,Betfair,9.5,Betfair,13.0,Betfair,26.0,Betfair,91.0,Betfair,6.5,Betfair,7.0,Betfair,17.0,Betfair,61.0,Betfair,6.5,Betfair,7.5,Betfair,15.0,Betfair,56.0,Betano.br,2.15,1.65,Betano.br,1.72,2.05,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,3.5,4.7,1.7,Betano.br,2.15,4.25,2.57,Betano.br,1.5,4.7,4.8,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,20.0,2.0,9.0,2.0,11.0,0.0,,,,,,,,,,,,,5.0,5.0,,,,,,,0.0,4.0,,,,,2.0,7.0,,,,,,,,,,,,,,,,,,,0.56,0.44,8.0,2.0,3.0,2.0,5.0,0.0,,,3.0,4.0,,,,,,,2.0,3.0,,,,,,,0.58,0.42,12.0,0.0,6.0,0.0,6.0,0.0,,,2.0,1.0,0.0,4.0,,,,,,,0.0,4.0
Mc5bdcwK,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,21/04/2024,10:15,Relegation Group,Aberystwyth,Pontypridd,3,0,"[37, 55, 89]",[],Betfair,2.88,2.1,3.4,Betfair,2.25,3.25,2.7,Betano.br,1.4,2.72,Betano.br,2.67,1.42,Betano.br,5.8,1.1,Betfair,1.02,10.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,1.6,2.15,Betano.br,1.4,1.31,1.6,Betfair,9.0,Betfair,9.0,Betfair,13.0,Betfair,26.0,Betfair,7.5,Betfair,5.5,Betfair,8.0,Betfair,17.0,Betfair,9.5,Betfair,7.5,Betfair,9.5,Betfair,23.0,Betfair,18.0,Betfair,14.0,Betfair,19.0,Betfair,36.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.25,1.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,20.0,10.5,1.06,Betano.br,10.0,6.4,1.2,Betano.br,4.55,4.0,1.6,Betano.br,1.4,4.5,6.5,Betano.br,1.12,7.8,15.0,,0.0,0.0,0.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,9.0,4.0,5.0,0.0,4.0,4.0,,,,,,,,,,,,,11.0,6.0,,,,,,,2.0,3.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.5,0.5,6.0,2.0,3.0,0.0,3.0,2.0,,,3.0,2.0,2.0,2.0,,,,,0.0,2.0,,,,,,,0.54,0.46,3.0,2.0,2.0,0.0,1.0,2.0,,,8.0,4.0,0.0,1.0,,,,,,,0.0,0.0
jX92eHhQ,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,21/04/2024,10:15,Relegation Group,Colwyn Bay,Barry,1,0,[83],[],Betfair,2.75,2.25,3.4,Betfair,2.2,3.5,2.75,Betano.br,1.32,3.1,Betano.br,2.42,1.52,Betano.br,5.0,1.13,Betfair,1.01,11.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.5,2.4,Betano.br,1.44,1.25,1.65,Betfair,11.0,Betfair,10.0,Betfair,14.0,Betfair,26.0,Betfair,8.5,Betfair,6.0,Betfair,8.5,Betfair,15.0,Betfair,10.0,Betfair,7.5,Betfair,9.0,Betfair,19.0,Betfair,17.0,Betfair,13.0,Betfair,15.0,Betfair,26.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.15,1.65,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,17.0,9.75,1.08,Betano.br,8.5,6.1,1.24,Betano.br,4.1,4.15,1.65,Betano.br,1.44,4.65,5.5,Betano.br,1.15,7.4,12.0,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,18.0,13.0,12.0,6.0,6.0,7.0,,,,,,,,,,,,,4.0,5.0,,,,,,,2.0,2.0,,,,,6.0,11.0,,,,,,,,,,,,,,,,,,,0.43,0.57,5.0,9.0,5.0,4.0,0.0,5.0,,,2.0,3.0,0.0,2.0,,,,,4.0,5.0,,,,,,,0.56,0.44,13.0,4.0,7.0,2.0,6.0,2.0,,,2.0,2.0,2.0,0.0,,,,,,,2.0,6.0
htdUjy1s,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,21/04/2024,10:15,Relegation Group,Penybont,Haverfordwest,1,0,[6],[],Betfair,2.3,2.1,4.5,Betfair,1.7,3.5,4.33,Betano.br,1.42,2.67,Betano.br,2.77,1.39,Betano.br,6.0,1.09,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.75,1.95,Betano.br,1.25,1.26,1.98,Betfair,9.0,Betfair,11.0,Betfair,19.0,Betfair,46.0,Betfair,5.5,Betfair,6.0,Betfair,12.0,Betfair,31.0,Betfair,7.0,Betfair,6.5,Betfair,11.0,Betfair,36.0,Betfair,11.0,Betfair,11.0,Betfair,20.0,Betfair,56.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,2.3,1.57,Betano.br,1.78,1.95,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,14.0,8.5,1.11,Betano.br,6.7,5.1,1.34,Betano.br,3.25,3.65,1.98,Betano.br,1.25,5.5,9.5,Betano.br,1.06,9.75,21.0,,0.0,0.0,0.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,4.0,7.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,2.0,4.0,,,,,,,2.0,2.0,,,,,4.0,0.0,,,,,,,,,,,,,,,,,,,0.48,0.52,3.0,3.0,1.0,1.0,2.0,2.0,,,1.0,1.0,0.0,1.0,,,,,1.0,0.0,,,,,,,0.4,0.6,1.0,4.0,0.0,3.0,1.0,1.0,,,1.0,3.0,2.0,1.0,,,,,,,3.0,0.0
GdAOVWTu,WALES,2023-2024,Cymru Premier 2023 2024,WALES 1,13/04/2024,10:30,Championship Group,Cardiff Metropolitan,TNS,0,5,[],"[28, 47, 75, 85, 88]",Betfair,13.0,3.6,1.33,Betfair,26.0,12.0,1.04,Betano.br,1.2,4.1,Betano.br,1.9,1.85,Betano.br,3.55,1.25,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.25,3.6,Betfair,1.73,2.0,Betano.br,2.57,1.44,Betfair,2.0,1.73,Betano.br,6.5,1.06,1.03,Betano.br,27.0,Betano.br,11.5,Betano.br,7.3,Betano.br,6.7,Betano.br,55.0,Betano.br,18.5,Betano.br,11.75,Betano.br,11.0,Betano.br,175.0,Betano.br,55.0,Betano.br,35.0,Betano.br,32.0,Betano.br,700.0,Betano.br,250.0,Betano.br,150.0,Betano.br,150.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.9,1.83,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,6.5,5.1,1.35,Betano.br,3.15,4.25,1.85,Betano.br,1.93,4.45,2.9,,,,,,,,,,,0.2,0.8,,,,,,,,,,,3.0,23.0,0.0,9.0,3.0,14.0,,,,,,,,,,,,,2.0,11.0,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,,,0.23,0.77,3.0,9.0,0.0,4.0,3.0,5.0,,,1.0,8.0,,,,,,,3.0,0.0,,,,,,,0.17,0.83,0.0,14.0,0.0,5.0,0.0,9.0,,,1.0,3.0,,,,,,,,,1.0,0.0
