Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
M9g47WCj,WORLD,2022,World Championship 2022,WORLD WORLD CUP,14/12/2022,16:00,Play Offs,France,Morocco,2.0,0.0,"[5, 79]",[],bet365,2.4,2.0,6.5,bet365,1.55,4.0,6.5,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.08,8.0,bet365,1.44,2.75,bet365,2.3,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,2.25,1.57,bet365,1.11,1.22,2.38,bet365,8.0,bet365,13.0,bet365,34.0,bet365,81.0,bet365,5.5,bet365,8.5,bet365,21.0,bet365,51.0,bet365,7.0,bet365,10.0,bet365,26.0,bet365,67.0,bet365,12.0,bet365,17.0,bet365,41.0,bet365,101.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.67,1.45,bet365,2.11,1.82,bet365,1.55,2.38,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,12.5,7.5,1.15,Betano.br,5.7,4.5,1.47,bet365,2.75,3.4,2.38,Betano.br,1.14,7.0,17.0,Betano.br,1.03,13.0,35.0,,0.0,0.0,0.0,,,,,,,,,,,0.39,0.61,0.86,0.89,,,,,,,,,14.0,13.0,2.0,1.0,8.0,6.0,4.0,6.0,,,,,,,,,,,2.0,3.0,13.0,15.0,14.0,18.0,11.0,11.0,0.0,1.0,,,4.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.44,0.56,10.0,4.0,1.0,1.0,6.0,2.0,,,2.0,2.0,0.0,1.0,8.0,4.0,2.0,1.0,1.0,0.0,,,,,,,0.34,0.66,4.0,9.0,1.0,0.0,2.0,4.0,,,0.0,1.0,,,,,3.0,7.0,2.0,2.0,0.0,0.0
QXChy9gE,WORLD,2022,World Championship 2022,WORLD WORLD CUP,13/12/2022,16:00,Play Offs,Argentina,Croatia,3.0,0.0,"[34, 39, 69]",[],bet365,2.63,1.91,6.0,bet365,1.95,3.1,4.75,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.1,7.0,bet365,1.5,2.63,bet365,2.5,1.53,bet365,4.5,1.2,bet365,10.0,1.06,bet365,2.1,1.67,bet365,1.18,1.36,1.8,bet365,6.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,6.0,bet365,6.5,bet365,19.0,bet365,41.0,bet365,8.5,bet365,10.0,bet365,21.0,bet365,51.0,bet365,21.0,bet365,21.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,3.8,1.25,bet365,2.85,1.4,bet365,2.04,1.89,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,20.0,10.0,1.08,Betano.br,9.0,5.6,1.27,bet365,3.75,3.6,1.8,Betano.br,1.24,5.4,11.75,Betano.br,1.05,10.75,29.0,Betano.br,1.01,15.5,40.0,,,,,,,,,,,0.39,0.61,0.84,0.88,,,,,,,,,10.0,12.0,7.0,3.0,2.0,7.0,1.0,2.0,,,,,,,,,,,2.0,4.0,6.0,16.0,19.0,21.0,15.0,8.0,2.0,2.0,,,1.0,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,0.38,0.62,5.0,4.0,4.0,0.0,0.0,3.0,,,2.0,2.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,2.0,,,,,,,0.4,0.6,5.0,8.0,3.0,3.0,2.0,4.0,,,0.0,2.0,2.0,0.0,,,12.0,4.0,0.0,0.0,3.0,2.0
2g49AZK4,WORLD,2022,World Championship 2022,WORLD WORLD CUP,10/12/2022,16:00,Play Offs,England,France,1.0,2.0,[54],"[17, 78]",bet365,3.6,1.91,3.6,bet365,2.75,3.1,2.7,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.08,7.5,bet365,1.44,2.75,bet365,2.3,1.62,bet365,4.33,1.22,bet365,10.0,1.06,bet365,1.95,1.8,bet365,1.44,1.36,1.4,bet365,7.5,bet365,8.0,bet365,13.0,bet365,29.0,bet365,8.0,bet365,6.5,bet365,12.0,bet365,29.0,bet365,13.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,34.0,bet365,29.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,5.0,1.17,bet365,2.67,1.45,bet365,1.48,2.6,bet365,1.18,4.65,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Betano.br,30.0,13.0,1.03,Betano.br,15.5,7.7,1.13,Betano.br,6.2,4.25,1.47,bet365,1.44,4.33,6.0,Betano.br,1.13,7.5,15.5,Betano.br,1.03,13.0,30.0,,,,,,,,,,,0.57,0.43,0.89,0.84,,,,,,,,,14.0,9.0,6.0,5.0,4.0,3.0,4.0,1.0,,,,,,,,,,,5.0,2.0,14.0,11.0,16.0,14.0,10.0,14.0,1.0,3.0,,,1.0,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,0.58,0.42,5.0,3.0,3.0,2.0,0.0,1.0,,,2.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,3.0,,,,,,,0.56,0.44,9.0,6.0,3.0,3.0,4.0,2.0,,,3.0,1.0,1.0,2.0,,,9.0,7.0,0.0,2.0,2.0,2.0
U7jo7z91,WORLD,2022,World Championship 2022,WORLD WORLD CUP,17/12/2022,12:00,Play Offs,Croatia,Morocco,2.0,1.0,"[7, 42]",[9],bet365,2.88,2.2,3.75,,0.0,0.0,0.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.86,2.04,bet365,3.0,1.4,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.36,1.29,1.67,bet365,12.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,9.5,bet365,7.0,bet365,12.0,bet365,26.0,bet365,12.0,bet365,10.0,bet365,15.0,bet365,34.0,bet365,23.0,bet365,19.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,4.1,1.23,bet365,3.3,1.32,bet365,2.15,1.68,bet365,1.38,3.0,bet365,1.14,5.75,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,Betano.br,20.0,10.5,1.07,Betano.br,9.5,6.2,1.23,bet365,4.0,4.0,1.67,Betano.br,1.39,4.75,6.6,Betano.br,1.12,8.25,15.0,Betano.br,1.03,13.5,28.0,,,,,,,,,,,0.51,0.49,0.88,0.87,,,,,,,,,14.0,7.0,4.0,2.0,8.0,5.0,2.0,0.0,,,,,,,,,,,6.0,3.0,13.0,15.0,14.0,19.0,13.0,11.0,0.0,2.0,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.59,0.41,8.0,3.0,4.0,1.0,3.0,2.0,,,2.0,2.0,,,6.0,3.0,2.0,0.0,0.0,2.0,,,,,,,0.43,0.57,6.0,4.0,0.0,1.0,5.0,3.0,,,4.0,1.0,0.0,2.0,,,7.0,8.0,0.0,2.0,1.0,0.0
hdEvqxcM,WORLD,2022,World Championship 2022,WORLD WORLD CUP,10/12/2022,12:00,Play Offs,Morocco,Portugal,1.0,0.0,[42],[],bet365,6.5,1.95,2.5,bet365,6.5,3.8,1.57,bet365,1.57,2.25,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.07,9.0,bet365,1.33,3.4,bet365,2.0,1.8,bet365,3.75,1.29,bet365,7.0,1.1,bet365,2.05,1.7,bet365,2.3,1.25,1.11,bet365,8.5,bet365,6.5,bet365,8.0,bet365,13.0,bet365,15.0,bet365,7.5,bet365,9.5,bet365,17.0,bet365,29.0,bet365,21.0,bet365,21.0,bet365,34.0,bet365,51.0,bet365,51.0,bet365,51.0,bet365,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,5.75,1.14,bet365,2.38,1.55,bet365,1.86,2.07,bet365,1.48,2.6,bet365,1.21,4.25,bet365,1.16,5.25,Betano.br,40.0,16.5,1.01,Betano.br,32.0,12.5,1.03,Betano.br,15.5,6.8,1.15,bet365,2.3,3.5,2.63,Betano.br,1.45,4.6,5.7,Betano.br,1.15,7.6,12.5,,,,,,,,,,,0.27,0.73,0.75,0.87,,,,,,,,,9.0,11.0,3.0,3.0,6.0,6.0,0.0,2.0,,,,,,,,,,,3.0,9.0,11.0,17.0,11.0,27.0,15.0,9.0,3.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,0.34,0.66,7.0,5.0,2.0,1.0,5.0,2.0,,,3.0,2.0,,,4.0,6.0,0.0,2.0,1.0,1.0,,,,,,,0.2,0.8,2.0,6.0,1.0,2.0,1.0,4.0,,,0.0,7.0,3.0,1.0,1.0,0.0,11.0,3.0,2.0,0.0,2.0,1.0
GpbM6Hem,WORLD,2022,World Championship 2022,WORLD WORLD CUP,06/12/2022,16:00,Play Offs,Portugal,Switzerland,6.0,1.0,"[17, 33, 51, 55, 67, 90]",[58],bet365,2.5,2.05,5.0,bet365,2.0,3.5,3.8,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.89,2.01,bet365,3.2,1.36,bet365,5.5,1.14,bet365,1.7,2.05,bet365,1.25,1.29,1.8,bet365,11.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,9.0,bet365,7.0,bet365,15.0,bet365,34.0,bet365,11.0,bet365,9.5,bet365,15.0,bet365,41.0,bet365,19.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,7.0,1.1,bet365,6.6,1.11,bet365,3.55,1.27,bet365,2.75,1.43,bet365,2.05,1.88,bet365,1.27,3.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,15.0,8.75,1.11,Betano.br,7.0,5.3,1.34,bet365,3.5,4.0,1.8,Betano.br,1.23,5.7,10.5,Betano.br,1.06,10.5,24.0,Betano.br,1.01,15.5,37.0,,,,,,,,,,,0.48,0.52,0.85,0.85,,,,,,,,,14.0,10.0,9.0,1.0,2.0,7.0,3.0,2.0,,,,,,,,,,,6.0,6.0,13.0,15.0,18.0,27.0,12.0,10.0,0.0,2.0,,,3.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,0.52,0.48,6.0,2.0,5.0,0.0,1.0,1.0,,,3.0,2.0,0.0,1.0,5.0,3.0,2.0,1.0,0.0,3.0,,,,,,,0.44,0.56,8.0,8.0,4.0,1.0,1.0,6.0,,,3.0,4.0,0.0,1.0,,,7.0,7.0,1.0,2.0,0.0,0.0
A7cQ5yBg,WORLD,2022,World Championship 2022,WORLD WORLD CUP,05/12/2022,16:00,Play Offs,Brazil,South Korea,4.0,1.0,"[7, 13, 29, 36]",[76],bet365,1.66,2.6,11.0,bet365,1.2,6.5,13.0,bet365,1.33,3.25,bet365,2.62,1.44,bet365,6.5,1.11,bet365,1.03,15.0,bet365,1.22,4.33,bet365,1.66,2.2,bet365,2.75,1.44,bet365,5.0,1.16,bet365,2.5,1.5,bet365,1.04,1.11,4.33,bet365,13.0,bet365,26.0,bet365,67.0,bet365,251.0,bet365,7.0,bet365,15.0,bet365,41.0,bet365,126.0,bet365,6.0,bet365,11.0,bet365,41.0,bet365,101.0,bet365,7.0,bet365,13.0,bet365,41.0,bet365,151.0,bet365,2.6,1.48,bet365,2.08,1.73,bet365,1.65,2.2,bet365,1.27,3.55,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,5.1,5.1,1.45,bet365,2.62,4.0,2.2,Betano.br,1.7,4.0,4.2,Betano.br,1.06,10.25,26.0,Betano.br,1.01,15.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,0.9,0.89,,,,,,,,,18.0,10.0,9.0,6.0,8.0,2.0,1.0,2.0,,,,,,,,,,,5.0,4.0,16.0,8.0,15.0,13.0,8.0,13.0,0.0,1.0,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,0.57,0.43,10.0,4.0,6.0,3.0,4.0,1.0,,,2.0,2.0,0.0,1.0,3.0,6.0,0.0,3.0,3.0,2.0,,,,,,,0.49,0.51,8.0,6.0,3.0,3.0,4.0,1.0,,,3.0,2.0,,,,,5.0,7.0,0.0,2.0,2.0,3.0
bswGq3oQ,WORLD,2022,World Championship 2022,WORLD WORLD CUP,04/12/2022,16:00,Play Offs,England,Senegal,3.0,0.0,"[38, 45, 57]",[],bet365,2.5,1.9,6.0,bet365,1.6,3.6,6.5,bet365,1.57,2.25,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.1,7.0,bet365,1.44,2.75,bet365,2.37,1.57,bet365,4.5,1.2,bet365,10.0,1.06,bet365,2.37,1.53,bet365,1.11,1.28,2.3,bet365,7.0,bet365,15.0,bet365,34.0,bet365,101.0,bet365,5.5,bet365,8.0,bet365,23.0,bet365,67.0,bet365,6.5,bet365,10.0,bet365,26.0,bet365,81.0,bet365,12.0,bet365,17.0,bet365,41.0,bet365,101.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.67,1.45,bet365,2.13,1.81,bet365,1.58,2.35,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,13.0,7.7,1.15,Betano.br,5.8,4.6,1.45,bet365,2.75,3.4,2.3,Betano.br,1.15,6.7,17.0,Betano.br,1.03,12.5,37.0,,0.0,0.0,0.0,,,,,,,,,,,0.61,0.39,0.88,0.81,,,,,,,,,8.0,10.0,4.0,2.0,4.0,6.0,0.0,2.0,,,,,,,,,,,3.0,3.0,12.0,16.0,18.0,16.0,16.0,12.0,0.0,1.0,,,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.65,0.35,4.0,3.0,2.0,1.0,2.0,1.0,,,3.0,0.0,,,5.0,5.0,0.0,0.0,1.0,0.0,,,,,,,0.57,0.43,4.0,7.0,2.0,1.0,2.0,5.0,,,0.0,3.0,0.0,1.0,,,11.0,7.0,0.0,0.0,1.0,1.0
Cj8sxDv9,WORLD,2022,World Championship 2022,WORLD WORLD CUP,04/12/2022,12:00,Play Offs,France,Poland,3.0,1.0,"[44, 74, 90]",[90],bet365,1.83,2.3,9.0,bet365,1.36,4.75,9.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.04,13.0,bet365,1.25,4.0,bet365,1.8,2.0,bet365,3.0,1.4,bet365,5.5,1.14,bet365,2.0,1.75,bet365,1.07,1.18,3.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,101.0,bet365,7.5,bet365,10.0,bet365,26.0,bet365,67.0,bet365,7.0,bet365,9.5,bet365,23.0,bet365,67.0,bet365,9.5,bet365,13.0,bet365,34.0,bet365,81.0,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.08,1.73,bet365,1.6,2.3,bet365,1.38,3.0,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.6,6.1,1.28,Betano.br,3.75,4.25,1.72,bet365,2.05,3.6,3.0,Betano.br,1.11,8.0,19.0,Betano.br,1.02,13.5,37.0,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,0.89,0.84,,,,,,,,,16.0,11.0,7.0,3.0,7.0,5.0,2.0,3.0,,,,,,,,,,,7.0,1.0,8.0,11.0,19.0,13.0,10.0,8.0,1.0,2.0,,,3.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,0.56,0.44,9.0,6.0,5.0,1.0,2.0,2.0,,,5.0,1.0,1.0,0.0,5.0,4.0,1.0,0.0,1.0,4.0,,,,,,,0.54,0.46,7.0,5.0,2.0,2.0,5.0,3.0,,,2.0,0.0,0.0,2.0,,,5.0,4.0,2.0,1.0,1.0,0.0
Ya9wwgP2,WORLD,2022,World Championship 2022,WORLD WORLD CUP,03/12/2022,16:00,Play Offs,Argentina,Australia,2.0,1.0,"[35, 57]",[77],bet365,1.8,2.37,9.5,bet365,1.28,6.0,9.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.04,12.0,bet365,1.25,4.0,bet365,1.8,2.0,bet365,3.0,1.4,bet365,5.5,1.14,bet365,2.37,1.53,bet365,1.07,1.12,3.5,bet365,12.0,bet365,21.0,bet365,51.0,bet365,151.0,bet365,6.5,bet365,13.0,bet365,29.0,bet365,81.0,bet365,6.0,bet365,11.0,bet365,34.0,bet365,81.0,bet365,8.0,bet365,13.0,bet365,41.0,bet365,126.0,bet365,3.1,1.35,bet365,2.42,1.52,bet365,1.89,2.04,bet365,1.4,2.85,bet365,1.27,3.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.2,5.4,1.36,bet365,3.1,4.0,1.9,Betano.br,1.83,3.75,3.75,Betano.br,1.07,9.5,24.0,Betano.br,1.02,15.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.61,0.39,0.89,0.85,,,,,,,,,14.0,5.0,5.0,2.0,7.0,2.0,2.0,1.0,,,,,,,,,,,1.0,3.0,15.0,11.0,24.0,24.0,8.0,15.0,0.0,2.0,,,4.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.61,0.39,2.0,1.0,1.0,0.0,1.0,0.0,,,0.0,2.0,0.0,2.0,3.0,8.0,1.0,0.0,0.0,0.0,,,,,,,0.61,0.39,12.0,4.0,4.0,2.0,6.0,2.0,,,1.0,1.0,,,,,5.0,7.0,3.0,0.0,1.0,3.0
